기준일,자료_기준일,제목,서울_수,한양도성_수
20230801,20190507,따릉이,612788,29386
20230801,20230516,버스 승차,5161104,241054
20230801,20230516,버스 하차,5041872,246805
20230801,20230516,지하철 승차,6741414,613407
20230801,20230516,지하철 하차,6716740,605602
20230802,20190501,따릉이,782578,30908
20230802,20230517,버스 승차,5184823,245227
20230802,20230517,버스 하차,5064382,243394
20230802,20230517,지하철 승차,6781483,616961
20230802,20230517,지하철 하차,6756334,615432
20230803,20190502,따릉이,666739,29009
20230803,20230518,버스 승차,5107276,266690
20230803,20230518,버스 하차,4988335,257319
20230803,20230518,지하철 승차,6637585,582136
20230803,20230518,지하철 하차,6612603,593546
20230804,20190503,따릉이,665858,32260
20230804,20230519,버스 승차,5323688,280306
20230804,20230519,버스 하차,5197132,273099
20230804,20230519,지하철 승차,7027215,629808
20230804,20230519,지하철 하차,6999078,642727
20230805,20190504,따릉이,771493,31423
20230805,20230513,버스 승차,3993830,218217
20230805,20230513,버스 하차,3896707,209705
20230805,20230513,지하철 승차,5216359,449386
20230805,20230513,지하철 하차,5190252,462793
20230806,20190505,따릉이,792143,29455
20230806,20230514,버스 승차,3059344,169970
20230806,20230514,버스 하차,2984160,158453
20230806,20230514,지하철 승차,3764954,298901
20230806,20230514,지하철 하차,3745496,301635
20230807,20190506,따릉이,842812,32416
20230807,20230515,버스 승차,5106682,265957
20230807,20230515,버스 하차,4990012,256717
20230807,20230515,지하철 승차,6537124,566345
20230807,20230515,지하철 하차,6512964,574886
20230808,20190507,따릉이,612788,29386
20230808,20230516,버스 승차,5161104,241054
20230808,20230516,버스 하차,5041872,246805
20230808,20230516,지하철 승차,6741414,613407
20230808,20230516,지하철 하차,6716740,605602
20230809,20190501,따릉이,782578,30908
20230809,20230517,버스 승차,5184823,245227
20230809,20230517,버스 하차,5064382,243394
20230809,20230517,지하철 승차,6781483,616961
20230809,20230517,지하철 하차,6756334,615432
20230810,20190502,따릉이,666739,29009
20230810,20230518,버스 승차,5107276,266690
20230810,20230518,버스 하차,4988335,257319
20230810,20230518,지하철 승차,6637585,582136
20230810,20230518,지하철 하차,6612603,593546
20230811,20190503,따릉이,665858,32260
20230811,20230519,버스 승차,5323688,280306
20230811,20230519,버스 하차,5197132,273099
20230811,20230519,지하철 승차,7027215,629808
20230811,20230519,지하철 하차,6999078,642727
20230812,20190504,따릉이,771493,31423
20230812,20230513,버스 승차,3993830,218217
20230812,20230513,버스 하차,3896707,209705
20230812,20230513,지하철 승차,5216359,449386
20230812,20230513,지하철 하차,5190252,462793
20230813,20190505,따릉이,792143,29455
20230813,20230514,버스 승차,3059344,169970
20230813,20230514,버스 하차,2984160,158453
20230813,20230514,지하철 승차,3764954,298901
20230813,20230514,지하철 하차,3745496,301635
20230814,20190506,따릉이,842812,32416
20230814,20230515,버스 승차,5106682,265957
20230814,20230515,버스 하차,4990012,256717
20230814,20230515,지하철 승차,6537124,566345
20230814,20230515,지하철 하차,6512964,574886
20230815,20190507,따릉이,612788,29386
20230815,20230516,버스 승차,5161104,241054
20230815,20230516,버스 하차,5041872,246805
20230815,20230516,지하철 승차,6741414,613407
20230815,20230516,지하철 하차,6716740,605602
20230816,20190501,따릉이,782578,30908
20230816,20230517,버스 승차,5184823,245227
20230816,20230517,버스 하차,5064382,243394
20230816,20230517,지하철 승차,6781483,616961
20230816,20230517,지하철 하차,6756334,615432
20230817,20190502,따릉이,666739,29009
20230817,20230518,버스 승차,5107276,266690
20230817,20230518,버스 하차,4988335,257319
20230817,20230518,지하철 승차,6637585,582136
20230817,20230518,지하철 하차,6612603,593546
20230818,20190503,따릉이,665858,32260
20230818,20230519,버스 승차,5323688,280306
20230818,20230519,버스 하차,5197132,273099
20230818,20230519,지하철 승차,7027215,629808
20230818,20230519,지하철 하차,6999078,642727
20230819,20190504,따릉이,771493,31423
20230819,20230513,버스 승차,3993830,218217
20230819,20230513,버스 하차,3896707,209705
20230819,20230513,지하철 승차,5216359,449386
20230819,20230513,지하철 하차,5190252,462793
20230820,20190505,따릉이,792143,29455
20230820,20230514,버스 승차,3059344,169970
20230820,20230514,버스 하차,2984160,158453
20230820,20230514,지하철 승차,3764954,298901
20230820,20230514,지하철 하차,3745496,301635
20230821,20190506,따릉이,842812,32416
20230821,20230515,버스 승차,5106682,265957
20230821,20230515,버스 하차,4990012,256717
20230821,20230515,지하철 승차,6537124,566345
20230821,20230515,지하철 하차,6512964,574886
20230822,20190507,따릉이,612788,29386
20230822,20230516,버스 승차,5161104,241054
20230822,20230516,버스 하차,5041872,246805
20230822,20230516,지하철 승차,6741414,613407
20230822,20230516,지하철 하차,6716740,605602
20230823,20190501,따릉이,782578,30908
20230823,20230517,버스 승차,5184823,245227
20230823,20230517,버스 하차,5064382,243394
20230823,20230517,지하철 승차,6781483,616961
20230823,20230517,지하철 하차,6756334,615432
20230824,20190502,따릉이,666739,29009
20230824,20230518,버스 승차,5107276,266690
20230824,20230518,버스 하차,4988335,257319
20230824,20230518,지하철 승차,6637585,582136
20230824,20230518,지하철 하차,6612603,593546
20230825,20190503,따릉이,665858,32260
20230825,20230519,버스 승차,5323688,280306
20230825,20230519,버스 하차,5197132,273099
20230825,20230519,지하철 승차,7027215,629808
20230825,20230519,지하철 하차,6999078,642727
20230826,20190504,따릉이,771493,31423
20230826,20230513,버스 승차,3993830,218217
20230826,20230513,버스 하차,3896707,209705
20230826,20230513,지하철 승차,5216359,449386
20230826,20230513,지하철 하차,5190252,462793
20230827,20190505,따릉이,792143,29455
20230827,20230514,버스 승차,3059344,169970
20230827,20230514,버스 하차,2984160,158453
20230827,20230514,지하철 승차,3764954,298901
20230827,20230514,지하철 하차,3745496,301635
20230828,20190506,따릉이,842812,32416
20230828,20230515,버스 승차,5106682,265957
20230828,20230515,버스 하차,4990012,256717
20230828,20230515,지하철 승차,6537124,566345
20230828,20230515,지하철 하차,6512964,574886
20230829,20190507,따릉이,612788,29386
20230829,20230516,버스 승차,5161104,241054
20230829,20230516,버스 하차,5041872,246805
20230829,20230516,지하철 승차,6741414,613407
20230829,20230516,지하철 하차,6716740,605602
20230830,20190501,따릉이,782578,30908
20230830,20230517,버스 승차,5184823,245227
20230830,20230517,버스 하차,5064382,243394
20230830,20230517,지하철 승차,6781483,616961
20230830,20230517,지하철 하차,6756334,615432
20230831,20190502,따릉이,666739,29009
20230831,20230518,버스 승차,5107276,266690
20230831,20230518,버스 하차,4988335,257319
20230831,20230518,지하철 승차,6637585,582136
20230831,20230518,지하철 하차,6612603,593546
