기준일,자료_기준일,제목,서울_수,한양도성_수
20230101,20190505,따릉이,792143,29455
20230101,20221225,버스 승차,2755048,161364
20230101,20221225,버스 하차,2685553,155590
20230101,20221225,지하철 승차,3420969,356540
20230101,20221225,지하철 하차,3405668,354788
20230102,20190506,따릉이,842812,32416
20230102,20221226,버스 승차,4732778,239806
20230102,20221226,버스 하차,4619378,231950
20230102,20221226,지하철 승차,5928677,526004
20230102,20221226,지하철 하차,5909109,527981
20230103,20190507,따릉이,612788,29386
20230103,20221227,버스 승차,4909968,254096
20230103,20221227,버스 하차,4791715,245569
20230103,20221227,지하철 승차,6217147,555245
20230103,20221227,지하철 하차,6196395,561050
20230104,20190501,따릉이,782578,30908
20230104,20221228,버스 승차,4994564,260993
20230104,20221228,버스 하차,4873224,252780
20230104,20221228,지하철 승차,6258744,568164
20230104,20221228,지하철 하차,6238183,575571
20230105,20190502,따릉이,666739,29009
20230105,20221229,버스 승차,4842664,253539
20230105,20221229,버스 하차,4725100,245204
20230105,20221229,지하철 승차,6150235,553895
20230105,20221229,지하철 하차,6129587,562785
20230106,20190503,따릉이,665858,32260
20230106,20221230,버스 승차,4832895,253383
20230106,20221230,버스 하차,4716403,246814
20230106,20221230,지하철 승차,6043771,550482
20230106,20221230,지하철 하차,6022866,560246
20230107,20190504,따릉이,771493,31423
20230107,20221231,버스 승차,3273173,168153
20230107,20221231,버스 하차,3191963,167265
20230107,20221231,지하철 승차,3835150,374393
20230107,20221231,지하철 하차,3818022,380448
20230108,20190505,따릉이,792143,29455
20230108,20230101,버스 승차,2310049,121807
20230108,20230101,버스 하차,2252461,113569
20230108,20230101,지하철 승차,2527358,216823
20230108,20230101,지하철 하차,2515229,208096
20230109,20190506,따릉이,842812,32416
20230109,20230102,버스 승차,4413285,215990
20230109,20230102,버스 하차,4312305,210951
20230109,20230102,지하철 승차,5624174,478984
20230109,20230102,지하철 하차,5606552,482450
20230110,20190507,따릉이,612788,29386
20230110,20230103,버스 승차,4625789,230149
20230110,20230103,버스 하차,4519847,224076
20230110,20230103,지하철 승차,5907271,506559
20230110,20230103,지하철 하차,5889315,510348
20230111,20190501,따릉이,782578,30908
20230111,20230104,버스 승차,4717409,237173
20230111,20230104,버스 하차,4608831,231009
20230111,20230104,지하철 승차,6019856,518617
20230111,20230104,지하철 하차,6001730,522494
20230112,20190502,따릉이,666739,29009
20230112,20230105,버스 승차,4717392,240076
20230112,20230105,버스 하차,4609538,233645
20230112,20230105,지하철 승차,6093739,524287
