기준일,자료_기준일,제목,서울_수,한양도성_수
20230301,20190501,따릉이,782578,30908
20230301,20230222,버스 승차,4845197,250653
20230301,20230222,버스 하차,4736604,244369
20230301,20230222,지하철 승차,6417975,556747
20230301,20230222,지하철 하차,6397016,562849
20230302,20190502,따릉이,666739,29009
20230302,20230216,버스 승차,4798665,245165
20230302,20230216,버스 하차,4690698,239456
20230302,20230216,지하철 승차,6395213,550543
20230302,20230216,지하철 하차,6371491,558425
20230303,20190503,따릉이,665858,32260
20230303,20230224,버스 승차,4959817,254906
20230303,20230224,버스 하차,4847157,249982
20230303,20230224,지하철 승차,6672837,575652
20230303,20230224,지하철 하차,6650621,583314
20230304,20190504,따릉이,771493,31423
20230304,20230225,버스 승차,3659701,188320
20230304,20230225,버스 하차,3572645,184621
20230304,20230225,지하철 승차,4781863,409017
20230304,20230225,지하철 하차,4760791,416215
20230305,20190505,따릉이,792143,29455
20230305,20230226,버스 승차,2792004,149790
20230305,20230226,버스 하차,2725052,141451
20230305,20230226,지하철 승차,3466807,286049
20230305,20230226,지하철 하차,3450352,283934
20230306,20190506,따릉이,842812,32416
20230306,20230227,버스 승차,4719869,245487
20230306,20230227,버스 하차,4615433,238400
20230306,20230227,지하철 승차,6233745,531259
20230306,20230227,지하철 하차,6210034,538411
20230307,20190507,따릉이,612788,29386
20230307,20230228,버스 승차,4861212,230233
20230307,20230228,버스 하차,4751147,235531
20230307,20230228,지하철 승차,6586531,592942
20230307,20230228,지하철 하차,6564701,593909
20230308,20190501,따릉이,782578,30908
20230308,20230301,버스 승차,2999570,153091
20230308,20230301,버스 하차,2930420,151372
20230308,20230301,지하철 승차,3660922,379911
20230308,20230301,지하철 하차,3644394,370503
20230309,20190502,따릉이,666739,29009
20230309,20230302,버스 승차,5144886,250223
20230309,20230302,버스 하차,5026726,244040
20230309,20230302,지하철 승차,6427755,537615
20230309,20230302,지하철 하차,6406176,544534
20230310,20190503,따릉이,665858,32260
20230310,20230303,버스 승차,5139536,254865
20230310,20230303,버스 하차,5020368,249770
20230310,20230303,지하철 승차,6648290,561277
20230310,20230303,지하철 하차,6625768,570053
20230311,20190504,따릉이,771493,31423
20230311,20230304,버스 승차,3631568,188130
20230311,20230304,버스 하차,3547201,183297
20230311,20230304,지하철 승차,4617079,384692
20230311,20230304,지하철 하차,4595473,396490
20230312,20190505,따릉이,792143,29455
20230312,20230305,버스 승차,2783730,142181
20230312,20230305,버스 하차,2718713,134532
20230312,20230305,지하철 승차,3316191,258835
20230312,20230305,지하철 하차,3300408,258099
20230313,20190506,따릉이,842812,32416
20230313,20230306,버스 승차,4996364,246704
20230313,20230306,버스 하차,4883185,239114
20230313,20230306,지하철 승차,6425959,534408
20230313,20230306,지하철 하차,6404380,541589
20230314,20190507,따릉이,612788,29386
20230314,20230307,버스 승차,5085285,257349
20230314,20230307,버스 하차,4969649,249283
20230314,20230307,지하철 승차,6584840,557356
20230314,20230307,지하철 하차,6563214,566309
20230315,20190501,따릉이,782578,30908
20230315,20230308,버스 승차,5097440,257450
20230315,20230308,버스 하차,4980108,250013
20230315,20230308,지하철 승차,6590338,568007
20230315,20230308,지하철 하차,6568063,575128
20230316,20190502,따릉이,666739,29009
20230316,20230309,버스 승차,5058200,256564
20230316,20230309,버스 하차,4942000,249360
20230316,20230309,지하철 승차,6604834,567681
20230316,20230309,지하철 하차,6583699,577374
20230317,20190503,따릉이,665858,32260
20230317,20230310,버스 승차,5195525,266651
20230317,20230310,버스 하차,5073400,259427
20230317,20230310,지하철 승차,6866465,586650
20230317,20230310,지하철 하차,6841672,597233
20230318,20190504,따릉이,771493,31423
20230318,20230311,버스 승차,3763445,194276
20230318,20230311,버스 하차,3672759,189857
20230318,20230311,지하철 승차,4890897,430414
20230318,20230311,지하철 하차,4869392,440981
20230319,20190505,따릉이,792143,29455
20230319,20230312,버스 승차,2550898,117158
20230319,20230312,버스 하차,2487652,111549
20230319,20230312,지하철 승차,3072666,245749
20230319,20230312,지하철 하차,3057622,242470
20230320,20190506,따릉이,842812,32416
20230320,20230313,버스 승차,4963937,245990
20230320,20230313,버스 하차,4852005,238583
20230320,20230313,지하철 승차,6398235,544746
20230320,20230313,지하철 하차,6377027,550468
20230321,20190507,따릉이,612788,29386
20230321,20230314,버스 승차,5100187,259519
20230321,20230314,버스 하차,4984170,252318
20230321,20230314,지하철 승차,6647543,569400
20230321,20230314,지하철 하차,6627087,575937
20230322,20190501,따릉이,782578,30908
20230322,20230315,버스 승차,5108698,261064
20230322,20230315,버스 하차,4992740,252630
20230322,20230315,지하철 승차,6628157,580713
20230322,20230315,지하철 하차,6608221,587141
20230323,20190502,따릉이,666739,29009
20230323,20230316,버스 승차,5124123,262760
20230323,20230316,버스 하차,5007036,255515
20230323,20230316,지하철 승차,6683538,585515
20230323,20230316,지하철 하차,6662687,592582
20230324,20190503,따릉이,665858,32260
20230324,20230317,버스 승차,5161081,264262
20230324,20230317,버스 하차,5041083,258324
20230324,20230317,지하철 승차,6831819,593419
20230324,20230317,지하철 하차,6809723,604119
20230325,20190504,따릉이,771493,31423
20230325,20230318,버스 승차,3784822,198922
20230325,20230318,버스 하차,3695314,195964
20230325,20230318,지하철 승차,4969474,458901
20230325,20230318,지하철 하차,4947849,467420
20230326,20190505,따릉이,792143,29455
20230326,20230319,버스 승차,2863643,149514
20230326,20230319,버스 하차,2795392,140113
20230326,20230319,지하철 승차,3617982,306238
20230326,20230319,지하철 하차,3601457,314095
20230327,20190506,따릉이,842812,32416
20230327,20230320,버스 승차,4990143,251395
20230327,20230320,버스 하차,4877037,243775
20230327,20230320,지하철 승차,6473140,557342
20230327,20230320,지하철 하차,6453178,563563
20230328,20190507,따릉이,612788,29386
20230328,20230321,버스 승차,5114035,263531
20230328,20230321,버스 하차,4996488,255062
20230328,20230321,지하철 승차,6652352,574084
20230328,20230321,지하철 하차,6631620,581992
20230329,20190501,따릉이,782578,30908
20230329,20230322,버스 승차,5128344,267440
