기준일,자료_기준일,제목,서울_수,한양도성_수
20240401,20190506,따릉이,842812,32416
20240401,20240325,버스 승차,5057165,247085
20240401,20240325,버스 하차,4944694,240700
20240401,20240325,지하철 승차,6564907,583398
20240401,20240325,지하철 하차,6540796,579635
20240402,20190507,따릉이,612788,29386
20240402,20240326,버스 승차,5168748,260268
20240402,20240326,버스 하차,5055644,255238
20240402,20240326,지하철 승차,6751057,605817
20240402,20240326,지하철 하차,6725981,610322
20240403,20190501,따릉이,782578,30908
20240403,20240327,버스 승차,5271738,281061
20240403,20240327,버스 하차,5161452,273645
20240403,20240327,지하철 승차,6958838,633970
20240403,20240327,지하철 하차,6932768,640075
20240404,20190502,따릉이,666739,29009
20240404,20240328,버스 승차,2740534,137898
20240404,20240328,버스 하차,2671099,89451
20240404,20240328,지하철 승차,7295379,650149
20240404,20240328,지하철 하차,7266622,689706
20240405,20190503,따릉이,665858,32260
20240405,20240329,버스 승차,5159666,263780
20240405,20240329,버스 하차,5045582,256935
20240405,20240329,지하철 승차,7018109,627216
20240405,20240329,지하철 하차,6989704,636111
20240406,20190504,따릉이,771493,31423
20240406,20240330,버스 승차,3912790,207141
20240406,20240330,버스 하차,3824828,201071
20240406,20240330,지하철 승차,5189073,486212
20240406,20240330,지하철 하차,5159511,496429
20240407,20190505,따릉이,792143,29455
20240407,20240331,버스 승차,3156973,178733
20240407,20240331,버스 하차,3085506,170262
20240407,20240331,지하철 승차,3864637,336973
20240407,20240331,지하철 하차,3842043,338499
20240408,20190506,따릉이,842812,32416
20240408,20240401,버스 승차,5021055,263284
20240408,20240401,버스 하차,4916687,255751
20240408,20240401,지하철 승차,6693280,593404
20240408,20240401,지하철 하차,6666221,599166
20240409,20190507,따릉이,612788,29386
20240409,20240402,버스 승차,5175573,276888
20240409,20240402,버스 하차,5067596,269439
20240409,20240402,지하철 승차,6919645,611940
20240409,20240402,지하철 하차,6891599,619965
20240410,20190501,따릉이,782578,30908
20240410,20240403,버스 승차,5111115,269227
20240410,20240403,버스 하차,5003801,260962
20240410,20240403,지하철 승차,6810146,608567
20240410,20240403,지하철 하차,6783643,617765
