기준일,자료_기준일,제목,서울_수,한양도성_수
20240701,20190506,따릉이,842812,32416
20240701,20240624,버스 승차,5063633,261872
20240701,20240624,버스 하차,4959905,254006
20240701,20240624,지하철 승차,6432945,561441
20240701,20240624,지하철 하차,6407982,568459
20240702,20190507,따릉이,612788,29386
20240702,20240625,버스 승차,5207483,273088
20240702,20240625,버스 하차,5099534,264940
20240702,20240625,지하철 승차,6675358,586294
20240702,20240625,지하철 하차,6649684,595169
20240703,20190501,따릉이,782578,30908
20240703,20240626,버스 승차,5304307,284569
20240703,20240626,버스 하차,5193291,275401
20240703,20240626,지하철 승차,6742807,599896
20240703,20240626,지하철 하차,6715537,610006
20240704,20190502,따릉이,666739,29009
20240704,20240627,버스 승차,5274421,281766
20240704,20240627,버스 하차,5163614,272662
20240704,20240627,지하철 승차,6736063,599203
20240704,20240627,지하철 하차,6708099,611668
20240705,20190503,따릉이,665858,32260
20240705,20240628,버스 승차,5452860,291555
20240705,20240628,버스 하차,5335801,282376
20240705,20240628,지하철 승차,6944584,609456
20240705,20240628,지하철 하차,6913875,623607
20240706,20190504,따릉이,771493,31423
20240706,20240629,버스 승차,3890216,202000
20240706,20240629,버스 하차,3796679,195516
20240706,20240629,지하철 승차,4790487,411509
20240706,20240629,지하철 하차,4761609,418941
20240707,20190505,따릉이,792143,29455
20240707,20240630,버스 승차,2798990,143527
20240707,20240630,버스 하차,2738361,135432
20240707,20240630,지하철 승차,3159785,255163
20240707,20240630,지하철 하차,3141700,257157
20240708,20190506,따릉이,842812,32416
20240708,20240701,버스 승차,5148684,263128
20240708,20240701,버스 하차,5042297,255276
20240708,20240701,지하철 승차,6380744,552869
20240708,20240701,지하철 하차,6354662,558345
20240709,20190507,따릉이,612788,29386
20240709,20240625,버스 승차,5207483,273088
20240709,20240625,버스 하차,5099534,264940
20240709,20240625,지하철 승차,6675358,586294
20240709,20240625,지하철 하차,6649684,595169
20240710,20190501,따릉이,782578,30908
20240710,20240626,버스 승차,5304307,284569
20240710,20240626,버스 하차,5193291,275401
20240710,20240626,지하철 승차,6742807,599896
20240710,20240626,지하철 하차,6715537,610006
20240711,20190502,따릉이,666739,29009
20240711,20240627,버스 승차,5274421,281766
20240711,20240627,버스 하차,5163614,272662
20240711,20240627,지하철 승차,6736063,599203
20240711,20240627,지하철 하차,6708099,611668
20240712,20190503,따릉이,665858,32260
20240712,20240705,버스 승차,5357533,280072
20240712,20240705,버스 하차,5243230,271432
20240712,20240705,지하철 승차,6817174,589279
20240712,20240705,지하철 하차,6788952,603514
20240713,20190504,따릉이,771493,31423
20240713,20240706,버스 승차,3748813,192781
20240713,20240706,버스 하차,3664587,186506
20240713,20240706,지하철 승차,4548549,385991
20240713,20240706,지하철 하차,4522034,396204
20240714,20190505,따릉이,792143,29455
20240714,20240707,버스 승차,3019548,154206
20240714,20240707,버스 하차,2949098,148445
20240714,20240707,지하철 승차,3461192,284614
20240714,20240707,지하철 하차,3441117,281933
20240715,20190506,따릉이,842812,32416
20240715,20240708,버스 승차,4899572,237238
20240715,20240708,버스 하차,4786825,229665
20240715,20240708,지하철 승차,6113601,524651
20240715,20240708,지하철 하차,6090500,528202
20240716,20190507,따릉이,612788,29386
20240716,20240709,버스 승차,5146076,260621
20240716,20240709,버스 하차,5038863,251617
20240716,20240709,지하철 승차,6464595,558790
20240716,20240709,지하철 하차,6439945,564863
20240717,20190501,따릉이,782578,30908
20240717,20240710,버스 승차,5312507,276708
20240717,20240710,버스 하차,5201065,266623
20240717,20240710,지하철 승차,6603838,577181
20240717,20240710,지하철 하차,6577707,585738
20240718,20190502,따릉이,666739,29009
20240718,20240711,버스 승차,5285337,278618
20240718,20240711,버스 하차,5174685,269287
20240718,20240711,지하철 승차,6648469,581387
20240718,20240711,지하철 하차,6622229,591834
20240719,20190503,따릉이,665858,32260
20240719,20240712,버스 승차,5430585,282778
20240719,20240712,버스 하차,5314238,273694
20240719,20240712,지하철 승차,6845159,590440
20240719,20240712,지하철 하차,6816556,604358
20240720,20190504,따릉이,771493,31423
20240720,20240713,버스 승차,4103824,221080
20240720,20240713,버스 하차,4012421,213651
20240720,20240713,지하철 승차,4905089,422318
20240720,20240713,지하철 하차,4876953,437465
20240721,20190505,따릉이,792143,29455
20240721,20240714,버스 승차,3150317,167623
20240721,20240714,버스 하차,3080439,160284
20240721,20240714,지하철 승차,3579649,297180
20240721,20240714,지하철 하차,3559540,298768
20240722,20190506,따릉이,842812,32416
20240722,20240715,버스 승차,5209700,263731
20240722,20240715,버스 하차,5102510,254991
20240722,20240715,지하철 승차,6377049,554845
20240722,20240715,지하철 하차,6351339,559940
20240723,20190507,따릉이,612788,29386
20240723,20240716,버스 승차,5157612,257297
20240723,20240716,버스 하차,5040253,250604
20240723,20240716,지하철 승차,6444600,570293
20240723,20240716,지하철 하차,6419858,569497
20240724,20190501,따릉이,782578,30908
20240724,20240717,버스 승차,5027612,247319
20240724,20240717,버스 하차,4906647,239065
20240724,20240717,지하철 승차,6217097,547058
20240724,20240717,지하철 하차,6193653,550869
20240725,20190502,따릉이,666739,29009
20240725,20240718,버스 승차,4868782,237272
20240725,20240718,버스 하차,4743001,226415
20240725,20240718,지하철 승차,6076631,529181
20240725,20240718,지하철 하차,6053580,541748
20240726,20190503,따릉이,665858,32260
20240726,20240719,버스 승차,5545767,288935
20240726,20240719,버스 하차,5426817,280053
20240726,20240719,지하철 승차,6832288,599938
20240726,20240719,지하철 하차,6803596,614308
20240727,20190504,따릉이,771493,31423
20240727,20240720,버스 승차,3805156,199331
20240727,20240720,버스 하차,3717559,192115
20240727,20240720,지하철 승차,4500665,382023
20240727,20240720,지하철 하차,4473918,393999
20240728,20190505,따릉이,792143,29455
20240728,20240721,버스 승차,3009420,159723
20240728,20240721,버스 하차,2942708,151770
20240728,20240721,지하철 승차,3347641,278902
20240728,20240721,지하철 하차,3327904,279457
20240729,20190506,따릉이,842812,32416
20240729,20240722,버스 승차,4860878,241632
20240729,20240722,버스 하차,4757105,234115
20240729,20240722,지하철 승차,6131184,538682
20240729,20240722,지하철 하차,6107503,544114
20240730,20190507,따릉이,612788,29386
20240730,20240723,버스 승차,5024520,257145
20240730,20240723,버스 하차,4921200,249216
20240730,20240723,지하철 승차,6331068,555591
20240730,20240723,지하철 하차,6306434,563176
20240731,20190501,따릉이,782578,30908
20240731,20240724,버스 승차,5245552,277616
20240731,20240724,버스 하차,5136542,269586
20240731,20240724,지하철 승차,6509472,580371
20240731,20240724,지하철 하차,6483404,589293
