기준일,자료_기준일,제목,서울_수,한양도성_수
20230401,20190504,따릉이,771493,31423
20230401,20230325,버스 승차,3860722,190070
20230401,20230325,버스 하차,3766005,189685
20230401,20230325,지하철 승차,5097468,486173
20230401,20230325,지하철 하차,5073643,491415
20230402,20190505,따릉이,792143,29455
20230402,20230326,버스 승차,3000873,164980
20230402,20230326,버스 하차,2928099,157067
20230402,20230326,지하철 승차,3646375,308415
20230402,20230326,지하철 하차,3629354,306325
20230403,20190506,따릉이,842812,32416
20230403,20230327,버스 승차,5031293,255850
20230403,20230327,버스 하차,4917356,247626
20230403,20230327,지하철 승차,6503489,559831
20230403,20230327,지하철 하차,6482999,565065
20230404,20190507,따릉이,612788,29386
20230404,20230328,버스 승차,5141833,266634
20230404,20230328,버스 하차,5023910,258627
20230404,20230328,지하철 승차,6739557,578698
20230404,20230328,지하철 하차,6718337,583988
20230405,20190501,따릉이,782578,30908
20230405,20230329,버스 승차,5163736,274000
20230405,20230329,버스 하차,5044734,265002
20230405,20230329,지하철 승차,6716273,588081
20230405,20230329,지하철 하차,6694683,596322
20230406,20190502,따릉이,666739,29009
20230406,20230330,버스 승차,5162151,274707
20230406,20230330,버스 하차,5041796,266073
20230406,20230330,지하철 승차,6779078,591474
20230406,20230330,지하철 하차,6757307,600887
20230407,20190503,따릉이,665858,32260
20230407,20230331,버스 승차,5280756,280226
20230407,20230331,버스 하차,5154221,270761
20230407,20230331,지하철 승차,7001475,604601
20230407,20230331,지하철 하차,6978395,617480
20230408,20190504,따릉이,771493,31423
20230408,20230401,버스 승차,4072057,229214
20230408,20230401,버스 하차,3969688,218536
20230408,20230401,지하철 승차,5244587,438549
20230408,20230401,지하철 하차,5220488,454241
20230409,20190505,따릉이,792143,29455
20230409,20230402,버스 승차,3187493,180700
20230409,20230402,버스 하차,3108506,169208
20230409,20230402,지하철 승차,3874508,307685
20230409,20230402,지하철 하차,3855523,310710
20230410,20190506,따릉이,842812,32416
20230410,20230403,버스 승차,5089397,270143
20230410,20230403,버스 하차,4972462,260088
20230410,20230403,지하철 승차,6638021,569321
20230410,20230403,지하철 하차,6616098,578432
20230411,20190507,따릉이,612788,29386
20230411,20230404,버스 승차,5156396,268513
20230411,20230404,버스 하차,5031979,259099
20230411,20230404,지하철 승차,6669385,580244
20230411,20230404,지하철 하차,6648283,582488
20230412,20190501,따릉이,782578,30908
20230412,20230405,버스 승차,4953084,240636
20230412,20230405,버스 하차,4820312,231345
20230412,20230405,지하철 승차,6284695,550127
20230412,20230405,지하철 하차,6265604,554906
20230413,20190502,따릉이,666739,29009
20230413,20230406,버스 승차,5131383,259826
20230413,20230406,버스 하차,5007812,251768
20230413,20230406,지하철 승차,6621246,587487
20230413,20230406,지하철 하차,6600971,592382
20230414,20190503,따릉이,665858,32260
20230414,20230407,버스 승차,5269755,278041
20230414,20230407,버스 하차,5145229,271630
20230414,20230407,지하철 승차,6937419,612430
20230414,20230407,지하철 하차,6915163,619055
20230415,20190504,따릉이,771493,31423
20230415,20230408,버스 승차,3879465,209811
20230415,20230408,버스 하차,3784344,203996
20230415,20230408,지하철 승차,5021323,439445
20230415,20230408,지하철 하차,4999312,448392
20230416,20190505,따릉이,792143,29455
20230416,20230409,버스 승차,2944432,152154
20230416,20230409,버스 하차,2871937,145052
20230416,20230409,지하철 승차,3614024,322473
20230416,20230409,지하철 하차,3596803,317911
20230417,20190506,따릉이,842812,32416
20230417,20230410,버스 승차,5004587,260978
20230417,20230410,버스 하차,4890318,250661
20230417,20230410,지하철 승차,6513714,561042
20230417,20230410,지하철 하차,6493108,569162
20230418,20190507,따릉이,612788,29386
20230418,20230411,버스 승차,4868753,242057
20230418,20230411,버스 하차,4755788,233914
20230418,20230411,지하철 승차,6344931,546016
20230418,20230411,지하철 하차,6326656,550997
20230419,20190501,따릉이,782578,30908
20230419,20230412,버스 승차,5152470,269748
20230419,20230412,버스 하차,5035179,260972
20230419,20230412,지하철 승차,6699394,587945
20230419,20230412,지하철 하차,6678542,596330
20230420,20190502,따릉이,666739,29009
20230420,20230413,버스 승차,5106153,268997
20230420,20230413,버스 하차,4988590,260185
20230420,20230413,지하철 승차,6674966,586477
20230420,20230413,지하철 하차,6653771,596949
20230421,20190503,따릉이,665858,32260
20230421,20230414,버스 승차,5154773,270604
20230421,20230414,버스 하차,5033003,263216
20230421,20230414,지하철 승차,6773684,589515
20230421,20230414,지하철 하차,6751928,603505
20230422,20190504,따릉이,771493,31423
20230422,20230415,버스 승차,3580764,173946
20230422,20230415,버스 하차,3492021,168425
20230422,20230415,지하철 승차,4564097,398068
20230422,20230415,지하철 하차,4544148,409695
20230423,20190505,따릉이,792143,29455
20230423,20230416,버스 승차,2821533,148719
20230423,20230416,버스 하차,2754102,139842
20230423,20230416,지하철 승차,3395367,278643
20230423,20230416,지하철 하차,3379689,280381
20230424,20190506,따릉이,842812,32416
20230424,20230417,버스 승차,4941986,252864
20230424,20230417,버스 하차,4831090,245209
20230424,20230417,지하철 승차,6402343,550641
20230424,20230417,지하철 하차,6382287,557430
20230425,20190507,따릉이,612788,29386
20230425,20230418,버스 승차,4976019,248157
20230425,20230418,버스 하차,4856088,239763
20230425,20230418,지하철 승차,6415973,544421
20230425,20230418,지하철 하차,6396716,555025
20230426,20190501,따릉이,782578,30908
20230426,20230419,버스 승차,5137478,266134
20230426,20230419,버스 하차,5018786,258298
20230426,20230419,지하철 승차,6686671,587626
20230426,20230419,지하철 하차,6665253,594726
20230427,20190502,따릉이,666739,29009
20230427,20230420,버스 승차,5050968,258759
20230427,20230420,버스 하차,4934663,253178
20230427,20230420,지하철 승차,6583456,572651
20230427,20230420,지하철 하차,6562459,580272
20230428,20190503,따릉이,665858,32260
20230428,20230421,버스 승차,5150188,270487
20230428,20230421,버스 하차,5029148,262334
20230428,20230421,지하철 승차,6763494,586738
20230428,20230421,지하철 하차,6741514,600079
20230429,20190504,따릉이,771493,31423
20230429,20230422,버스 승차,3752905,200512
20230429,20230422,버스 하차,3662916,193537
20230429,20230422,지하철 승차,4764419,413753
20230429,20230422,지하철 하차,4742868,427756
20230430,20190505,따릉이,792143,29455
20230430,20230423,버스 승차,2844149,155199
20230430,20230423,버스 하차,2776668,145842
20230430,20230423,지하철 승차,3412305,275059
20230430,20230423,지하철 하차,3396463,276343
