기준일,자료_기준일,제목,서울_수,한양도성_수
20240501,20190501,따릉이,782578,30908
20240501,20240424,버스 승차,5129522,260320
20240501,20240424,버스 하차,5016941,253207
20240501,20240424,지하철 승차,6658268,585728
20240501,20240424,지하철 하차,6630809,594899
20240502,20190502,따릉이,666739,29009
20240502,20240425,버스 승차,5218613,278264
20240502,20240425,버스 하차,5109688,270007
20240502,20240425,지하철 승차,6898790,611528
20240502,20240425,지하철 하차,6869807,624121
20240503,20190503,따릉이,665858,32260
20240503,20240426,버스 승차,5356237,288481
20240503,20240426,버스 하차,5240740,279901
20240503,20240426,지하철 승차,7147511,631805
20240503,20240426,지하철 하차,7116344,646934
20240504,20190504,따릉이,771493,31423
20240504,20240427,버스 승차,4130161,236672
20240504,20240427,버스 하차,4036969,226074
20240504,20240427,지하철 승차,5379472,460600
20240504,20240427,지하철 하차,5346796,483891
20240505,20190505,따릉이,792143,29455
20240505,20240428,버스 승차,3156654,177438
20240505,20240428,버스 하차,3086043,169251
20240505,20240428,지하철 승차,3939190,332121
20240505,20240428,지하철 하차,3915920,350528
20240506,20190506,따릉이,842812,32416
20240506,20240429,버스 승차,5118121,273216
20240506,20240429,버스 하차,5011580,264528
20240506,20240429,지하철 승차,6728726,600323
20240506,20240429,지하철 하차,6701976,609192
20240507,20190507,따릉이,612788,29386
20240507,20240430,버스 승차,5349505,288478
20240507,20240430,버스 하차,5235894,278225
20240507,20240430,지하철 승차,7077641,625268
20240507,20240430,지하철 하차,7047724,641686
20240508,20190501,따릉이,782578,30908
20240508,20240501,버스 승차,4113821,230624
20240508,20240501,버스 하차,4022242,225227
20240508,20240501,지하철 승차,4887232,482601
20240508,20240501,지하철 하차,4860756,477349
20240509,20190502,따릉이,666739,29009
20240509,20240502,버스 승차,5276825,290896
20240509,20240502,버스 하차,5166577,281635
20240509,20240502,지하철 승차,7010414,627749
20240509,20240502,지하철 하차,6981934,637993
20240510,20190503,따릉이,665858,32260
20240510,20240503,버스 승차,5391716,297974
20240510,20240503,버스 하차,5276171,290717
20240510,20240503,지하철 승차,7264893,656313
20240510,20240503,지하철 하차,7231736,666640
20240511,20190504,따릉이,771493,31423
20240511,20240504,버스 승차,3988239,246636
20240511,20240504,버스 하차,3895502,237449
20240511,20240504,지하철 승차,5194238,489469
20240511,20240504,지하철 하차,5159933,504000
20240512,20190505,따릉이,792143,29455
20240512,20240505,버스 승차,2590102,129676
20240512,20240505,버스 하차,2514189,123480
20240512,20240505,지하철 승차,3205598,282916
20240512,20240505,지하철 하차,3185888,285972
20240513,20190506,따릉이,842812,32416
20240513,20240506,버스 승차,2740292,144063
20240513,20240506,버스 하차,2677417,137270
20240513,20240506,지하철 승차,3306516,284457
20240513,20240506,지하철 하차,3287929,282260
20240514,20190507,따릉이,612788,29386
20240514,20240507,버스 승차,5171959,257577
20240514,20240507,버스 하차,5063967,249625
20240514,20240507,지하철 승차,6662118,560783
20240514,20240507,지하철 하차,6636977,568154
20240515,20190501,따릉이,782578,30908
20240515,20240508,버스 승차,5318002,275969
20240515,20240508,버스 하차,5209321,269675
20240515,20240508,지하철 승차,6856804,591975
20240515,20240508,지하철 하차,6829128,597486
20240516,20190502,따릉이,666739,29009
20240516,20240509,버스 승차,5268310,282382
20240516,20240509,버스 하차,5159104,272260
20240516,20240509,지하철 승차,6988018,610708
20240516,20240509,지하철 하차,6956759,623828
20240517,20190503,따릉이,665858,32260
20240517,20240510,버스 승차,5425369,292465
20240517,20240510,버스 하차,5310576,283332
20240517,20240510,지하철 승차,7279547,637938
20240517,20240510,지하철 하차,7248464,653060
20240518,20190504,따릉이,771493,31423
20240518,20240511,버스 승차,3666505,142192
20240518,20240511,버스 하차,3573031,153678
20240518,20240511,지하철 승차,4930136,465741
20240518,20240511,지하철 하차,4901101,454222
20240519,20190505,따릉이,792143,29455
20240519,20240512,버스 승차,3214883,184987
20240519,20240512,버스 하차,3144067,177236
20240519,20240512,지하철 승차,3950834,349693
20240519,20240512,지하철 하차,3927251,350921
20240520,20190506,따릉이,842812,32416
20240520,20240513,버스 승차,5150570,269578
20240520,20240513,버스 하차,5045430,261131
20240520,20240513,지하철 승차,6731314,584542
20240520,20240513,지하철 하차,6705069,593022
20240521,20190507,따릉이,612788,29386
20240521,20240514,버스 승차,5434887,292933
20240521,20240514,버스 하차,5320811,282094
20240521,20240514,지하철 승차,7188871,626473
20240521,20240514,지하철 하차,7159448,646007
20240522,20190501,따릉이,782578,30908
20240522,20240515,버스 승차,3203448,170162
20240522,20240515,버스 하차,3122971,165535
20240522,20240515,지하철 승차,3814268,355372
20240522,20240515,지하철 하차,3792217,351373
20240523,20190502,따릉이,666739,29009
20240523,20240516,버스 승차,5237189,279376
20240523,20240516,버스 하차,5131217,272375
20240523,20240516,지하철 승차,6939163,610059
20240523,20240516,지하철 하차,6912603,620443
20240524,20190503,따릉이,665858,32260
20240524,20240517,버스 승차,5359899,285431
20240524,20240517,버스 하차,5247534,277552
20240524,20240517,지하철 승차,7142756,627988
20240524,20240517,지하철 하차,7113442,642366
20240525,20190504,따릉이,771493,31423
20240525,20240518,버스 승차,4156075,246623
20240525,20240518,버스 하차,4063188,235090
20240525,20240518,지하철 승차,5331209,460804
20240525,20240518,지하철 하차,5299210,481611
20240526,20190505,따릉이,792143,29455
20240526,20240519,버스 승차,3219092,179633
20240526,20240519,버스 하차,3148096,170126
20240526,20240519,지하철 승차,3902784,322716
20240526,20240519,지하철 하차,3879668,327263
20240527,20190506,따릉이,842812,32416
20240527,20240520,버스 승차,5069131,263550
20240527,20240520,버스 하차,4965595,254984
20240527,20240520,지하철 승차,6604752,568249
