기준일,자료_기준일,제목,서울_수,한양도성_수
20230901,20190503,따릉이,665858,32260
20230901,20230519,버스 승차,5323688,280306
20230901,20230519,버스 하차,5197132,273099
20230901,20230519,지하철 승차,7027215,629808
20230901,20230519,지하철 하차,6999078,642727
20230902,20190504,따릉이,771493,31423
20230902,20230513,버스 승차,3993830,218217
20230902,20230513,버스 하차,3896707,209705
20230902,20230513,지하철 승차,5216359,449386
20230902,20230513,지하철 하차,5190252,462793
20230903,20190505,따릉이,792143,29455
20230903,20230514,버스 승차,3059344,169970
20230903,20230514,버스 하차,2984160,158453
20230903,20230514,지하철 승차,3764954,298901
20230903,20230514,지하철 하차,3745496,301635
20230904,20190506,따릉이,842812,32416
20230904,20230515,버스 승차,5106682,265957
20230904,20230515,버스 하차,4990012,256717
20230904,20230515,지하철 승차,6537124,566345
20230904,20230515,지하철 하차,6512964,574886
20230905,20190507,따릉이,612788,29386
20230905,20230516,버스 승차,5161104,241054
20230905,20230516,버스 하차,5041872,246805
20230905,20230516,지하철 승차,6741414,613407
20230905,20230516,지하철 하차,6716740,605602
20230906,20190501,따릉이,782578,30908
20230906,20230517,버스 승차,5184823,245227
20230906,20230517,버스 하차,5064382,243394
20230906,20230517,지하철 승차,6781483,616961
20230906,20230517,지하철 하차,6756334,615432
20230907,20190502,따릉이,666739,29009
20230907,20230518,버스 승차,5107276,266690
20230907,20230518,버스 하차,4988335,257319
20230907,20230518,지하철 승차,6637585,582136
20230907,20230518,지하철 하차,6612603,593546
20230908,20190503,따릉이,665858,32260
20230908,20230519,버스 승차,5323688,280306
20230908,20230519,버스 하차,5197132,273099
20230908,20230519,지하철 승차,7027215,629808
20230908,20230519,지하철 하차,6999078,642727
20230909,20190504,따릉이,771493,31423
20230909,20230513,버스 승차,3993830,218217
20230909,20230513,버스 하차,3896707,209705
20230909,20230513,지하철 승차,5216359,449386
20230909,20230513,지하철 하차,5190252,462793
20230910,20190505,따릉이,792143,29455
20230910,20230514,버스 승차,3059344,169970
20230910,20230514,버스 하차,2984160,158453
20230910,20230514,지하철 승차,3764954,298901
20230910,20230514,지하철 하차,3745496,301635
20230911,20190506,따릉이,842812,32416
20230911,20230515,버스 승차,5106682,265957
20230911,20230515,버스 하차,4990012,256717
20230911,20230515,지하철 승차,6537124,566345
20230911,20230515,지하철 하차,6512964,574886
20230912,20190507,따릉이,612788,29386
20230912,20230516,버스 승차,5161104,241054
20230912,20230516,버스 하차,5041872,246805
20230912,20230516,지하철 승차,6741414,613407
20230912,20230516,지하철 하차,6716740,605602
20230913,20190501,따릉이,782578,30908
20230913,20230517,버스 승차,5184823,245227
20230913,20230517,버스 하차,5064382,243394
20230913,20230517,지하철 승차,6781483,616961
20230913,20230517,지하철 하차,6756334,615432
20230914,20190502,따릉이,666739,29009
20230914,20230518,버스 승차,5107276,266690
20230914,20230518,버스 하차,4988335,257319
20230914,20230518,지하철 승차,6637585,582136
20230914,20230518,지하철 하차,6612603,593546
20230915,20190503,따릉이,665858,32260
20230915,20230519,버스 승차,5323688,280306
20230915,20230519,버스 하차,5197132,273099
20230915,20230519,지하철 승차,7027215,629808
20230915,20230519,지하철 하차,6999078,642727
20230916,20190504,따릉이,771493,31423
20230916,20230513,버스 승차,3993830,218217
20230916,20230513,버스 하차,3896707,209705
20230916,20230513,지하철 승차,5216359,449386
20230916,20230513,지하철 하차,5190252,462793
20230917,20190505,따릉이,792143,29455
20230917,20230514,버스 승차,3059344,169970
20230917,20230514,버스 하차,2984160,158453
20230917,20230514,지하철 승차,3764954,298901
20230917,20230514,지하철 하차,3745496,301635
20230918,20190506,따릉이,842812,32416
20230918,20230515,버스 승차,5106682,265957
20230918,20230515,버스 하차,4990012,256717
20230918,20230515,지하철 승차,6537124,566345
20230918,20230515,지하철 하차,6512964,574886
20230919,20190507,따릉이,612788,29386
20230919,20230516,버스 승차,5161104,241054
20230919,20230516,버스 하차,5041872,246805
20230919,20230516,지하철 승차,6741414,613407
20230919,20230516,지하철 하차,6716740,605602
20230920,20190501,따릉이,782578,30908
20230920,20230517,버스 승차,5184823,245227
20230920,20230517,버스 하차,5064382,243394
20230920,20230517,지하철 승차,6781483,616961
20230920,20230517,지하철 하차,6756334,615432
20230921,20190502,따릉이,666739,29009
20230921,20230518,버스 승차,5107276,266690
20230921,20230518,버스 하차,4988335,257319
20230921,20230518,지하철 승차,6637585,582136
20230921,20230518,지하철 하차,6612603,593546
20230922,20190503,따릉이,665858,32260
20230922,20230519,버스 승차,5323688,280306
20230922,20230519,버스 하차,5197132,273099
20230922,20230519,지하철 승차,7027215,629808
20230922,20230519,지하철 하차,6999078,642727
20230923,20190504,따릉이,771493,31423
20230923,20230513,버스 승차,3993830,218217
20230923,20230513,버스 하차,3896707,209705
20230923,20230513,지하철 승차,5216359,449386
20230923,20230513,지하철 하차,5190252,462793
20230924,20190505,따릉이,792143,29455
20230924,20230514,버스 승차,3059344,169970
20230924,20230514,버스 하차,2984160,158453
20230924,20230514,지하철 승차,3764954,298901
20230924,20230514,지하철 하차,3745496,301635
20230925,20190506,따릉이,842812,32416
20230925,20230515,버스 승차,5106682,265957
20230925,20230515,버스 하차,4990012,256717
20230925,20230515,지하철 승차,6537124,566345
20230925,20230515,지하철 하차,6512964,574886
20230926,20190507,따릉이,612788,29386
20230926,20230516,버스 승차,5161104,241054
20230926,20230516,버스 하차,5041872,246805
20230926,20230516,지하철 승차,6741414,613407
20230926,20230516,지하철 하차,6716740,605602
20230927,20190501,따릉이,782578,30908
20230927,20230517,버스 승차,5184823,245227
20230927,20230517,버스 하차,5064382,243394
20230927,20230517,지하철 승차,6781483,616961
20230927,20230517,지하철 하차,6756334,615432
20230928,20190502,따릉이,666739,29009
20230928,20230518,버스 승차,5107276,266690
20230928,20230518,버스 하차,4988335,257319
20230928,20230518,지하철 승차,6637585,582136
20230928,20230518,지하철 하차,6612603,593546
20230929,20190503,따릉이,665858,32260
20230929,20230519,버스 승차,5323688,280306
20230929,20230519,버스 하차,5197132,273099
20230929,20230519,지하철 승차,7027215,629808
20230929,20230519,지하철 하차,6999078,642727
20230930,20190504,따릉이,771493,31423
20230930,20230513,버스 승차,3993830,218217
20230930,20230513,버스 하차,3896707,209705
20230930,20230513,지하철 승차,5216359,449386
20230930,20230513,지하철 하차,5190252,462793
