기준일,기준시간,지점_ID,차량방향유형,차량수량,확정_YN
20240501,02,GM00000002,1,134,Y
20240501,02,GM00000002,2,106,Y
20240501,02,GM00000003,1,6,Y
20240501,02,GM00000003,2,3,Y
20240501,02,GM00000004,2,1,Y
20240501,02,GM00000005,1,3,Y
20240501,02,GM00000005,2,5,Y
20240501,02,GM00000006,1,2,Y
20240501,02,GM00000007,1,441,Y
20240501,02,GM00000007,2,487,Y
20240501,02,GM00000008,1,3,Y
20240501,02,GM00000008,2,3,Y
20240501,02,GM00000010,1,258,Y
20240501,02,GM00000010,2,474,Y
20240501,02,GM00000011,1,8,Y
20240501,02,GM00000011,2,10,Y
20240501,02,GM00000012,1,509,Y
20240501,02,GM00000012,2,290,Y
20240501,02,GM00000014,1,8,Y
20240501,02,GM00000014,2,8,Y
20240501,02,GM00000015,1,203,Y
20240501,02,GM00000015,2,463,Y
20240501,02,GM00000016,1,2,Y
20240501,02,GM00000016,2,7,Y
20240501,02,GM00000017,1,231,Y
20240501,02,GM00000017,2,149,Y
20240501,02,GM00000019,1,209,Y
20240501,02,GM00000019,2,196,Y
20240501,02,GM00000020,1,351,Y
20240501,02,GM00000020,2,757,Y
20240501,02,GM00000021,1,85,Y
20240501,02,GM00000021,2,104,Y
20240501,02,GM00000022,1,110,Y
20240501,02,GM00000022,2,200,Y
20240501,02,GM00000023,1,259,Y
20240501,02,GM00000023,2,321,Y
20240501,02,GM00000024,1,1,Y
20240501,02,GM00000025,1,1,Y
20240501,02,GM00000026,1,1,Y
20240501,02,GM00000026,2,1,Y
20240501,02,GM00000027,2,1,Y
20240501,02,GM00000028,1,15,Y
20240501,02,GM00000028,2,9,Y
20240501,02,GM00000030,1,1,Y
20240501,02,GM00000031,1,354,Y
20240501,02,GM00000031,2,212,Y
20240501,02,GM00000032,1,361,Y
20240501,02,GM00000032,2,254,Y
20240501,02,GM00000033,1,155,Y
20240501,02,GM00000033,2,83,Y
20240501,02,GM00000034,1,62,Y
20240501,02,GM00000035,1,365,Y
20240501,02,GM00000035,2,315,Y
20240501,02,GM00000036,1,306,Y
20240501,02,GM00000036,2,326,Y
20240501,02,GM00000037,1,2,Y
20240501,02,GM00000038,1,513,Y
20240501,02,GM00000038,2,576,Y
20240501,02,GM00000039,1,1,Y
20240501,02,GM00000039,2,6,Y
20240501,02,GM00000040,1,1,Y
20240501,02,GM00000043,1,21,Y
20240501,02,GM00000043,2,20,Y
20240501,02,GM00000044,1,2,Y
20240501,02,GM00000044,2,3,Y
20240501,02,GM00000045,1,10,Y
20240501,02,GM00000045,2,21,Y
20240501,03,GM00000001,1,14,Y
20240501,03,GM00000001,2,24,Y
20240501,03,GM00000002,1,116,Y
20240501,03,GM00000002,2,96,Y
20240501,03,GM00000003,1,3,Y
20240501,03,GM00000003,2,3,Y
20240501,03,GM00000005,1,2,Y
20240501,03,GM00000005,2,6,Y
20240501,03,GM00000006,1,3,Y
20240501,03,GM00000007,1,412,Y
20240501,03,GM00000007,2,425,Y
20240501,03,GM00000008,1,5,Y
20240501,03,GM00000008,2,2,Y
20240501,03,GM00000010,1,272,Y
20240501,03,GM00000010,2,367,Y
20240501,03,GM00000011,1,5,Y
20240501,03,GM00000011,2,8,Y
