기준일,기준시간,지점_ID,차량방향유형,차량수량,확정_YN
20240701,00,GM00000001,1,27,Y
20240701,00,GM00000001,2,46,Y
20240701,00,GM00000002,1,94,Y
20240701,00,GM00000002,2,118,Y
20240701,00,GM00000003,1,22,Y
20240701,00,GM00000003,2,24,Y
20240701,00,GM00000004,2,3,Y
20240701,00,GM00000005,1,5,Y
20240701,00,GM00000005,2,7,Y
20240701,00,GM00000006,1,2,Y
20240701,00,GM00000007,1,388,Y
20240701,00,GM00000007,2,461,Y
20240701,00,GM00000008,1,4,Y
20240701,00,GM00000008,2,2,Y
20240701,00,GM00000010,1,206,Y
20240701,00,GM00000010,2,394,Y
20240701,00,GM00000011,1,7,Y
20240701,00,GM00000011,2,8,Y
20240701,00,GM00000012,1,513,Y
20240701,00,GM00000012,2,311,Y
20240701,00,GM00000014,1,1,Y
20240701,00,GM00000014,2,17,Y
20240701,00,GM00000015,1,266,Y
20240701,00,GM00000015,2,770,Y
20240701,00,GM00000016,1,3,Y
20240701,00,GM00000016,2,12,Y
20240701,00,GM00000017,1,363,Y
20240701,00,GM00000017,2,166,Y
20240701,00,GM00000018,1,101,Y
20240701,00,GM00000019,1,278,Y
20240701,00,GM00000019,2,186,Y
20240701,00,GM00000020,1,488,Y
20240701,00,GM00000020,2,713,Y
20240701,00,GM00000021,1,106,Y
20240701,00,GM00000021,2,120,Y
20240701,00,GM00000022,1,168,Y
20240701,00,GM00000022,2,222,Y
20240701,00,GM00000023,1,318,Y
20240701,00,GM00000023,2,313,Y
20240701,00,GM00000024,1,1,Y
20240701,00,GM00000025,1,1,Y
20240701,00,GM00000025,2,2,Y
20240701,00,GM00000026,1,1,Y
20240701,00,GM00000028,1,17,Y
20240701,00,GM00000028,2,34,Y
20240701,00,GM00000030,1,2,Y
20240701,00,GM00000030,2,2,Y
20240701,00,GM00000031,1,368,Y
20240701,00,GM00000031,2,253,Y
20240701,00,GM00000032,1,380,Y
20240701,00,GM00000032,2,397,Y
20240701,00,GM00000033,1,112,Y
20240701,00,GM00000033,2,110,Y
20240701,00,GM00000034,1,90,Y
20240701,00,GM00000034,2,186,Y
20240701,00,GM00000035,1,342,Y
20240701,00,GM00000035,2,330,Y
20240701,00,GM00000036,1,206,Y
20240701,00,GM00000036,2,370,Y
20240701,00,GM00000037,1,2,Y
20240701,00,GM00000038,1,401,Y
20240701,00,GM00000038,2,551,Y
20240701,00,GM00000039,1,2,Y
20240701,00,GM00000039,2,7,Y
20240701,00,GM00000043,1,18,Y
20240701,00,GM00000043,2,21,Y
20240701,00,GM00000044,1,5,Y
20240701,00,GM00000044,2,7,Y
20240701,00,GM00000045,1,10,Y
20240701,00,GM00000045,2,37,Y
20240701,01,GM00000001,1,18,Y
20240701,01,GM00000001,2,27,Y
20240701,01,GM00000002,1,81,Y
20240701,01,GM00000002,2,68,Y
20240701,01,GM00000003,1,12,Y
20240701,01,GM00000003,2,12,Y
20240701,01,GM00000004,1,1,Y
20240701,01,GM00000004,2,1,Y
20240701,01,GM00000005,1,4,Y
20240701,01,GM00000005,2,5,Y
20240701,01,GM00000006,1,2,Y
20240701,01,GM00000007,1,257,Y
20240701,01,GM00000007,2,358,Y
20240701,01,GM00000008,1,4,Y
20240701,01,GM00000008,2,3,Y
20240701,01,GM00000010,1,197,Y
20240701,01,GM00000010,2,325,Y
20240701,01,GM00000011,1,7,Y
20240701,01,GM00000011,2,14,Y
20240701,01,GM00000012,1,359,Y
20240701,01,GM00000012,2,201,Y
20240701,01,GM00000014,1,3,Y
20240701,01,GM00000014,2,4,Y
20240701,01,GM00000015,1,226,Y
20240701,01,GM00000015,2,406,Y
20240701,01,GM00000016,1,6,Y
20240701,01,GM00000016,2,8,Y
20240701,01,GM00000017,1,237,Y
20240701,01,GM00000017,2,124,Y
20240701,01,GM00000018,1,65,Y
20240701,01,GM00000019,1,195,Y
20240701,01,GM00000019,2,137,Y
20240701,01,GM00000020,1,313,Y
20240701,01,GM00000020,2,465,Y
20240701,01,GM00000021,1,69,Y
20240701,01,GM00000021,2,95,Y
20240701,01,GM00000022,1,126,Y
20240701,01,GM00000022,2,183,Y
20240701,01,GM00000023,1,231,Y
20240701,01,GM00000023,2,261,Y
20240701,01,GM00000025,1,1,Y
20240701,01,GM00000026,1,3,Y
20240701,01,GM00000026,2,1,Y
20240701,01,GM00000028,1,11,Y
20240701,01,GM00000028,2,24,Y
20240701,01,GM00000030,2,1,Y
20240701,01,GM00000031,1,335,Y
20240701,01,GM00000031,2,177,Y
20240701,01,GM00000032,1,355,Y
20240701,01,GM00000032,2,323,Y
