기준년월,광역지자체,방문자 구분,방문자 수
20220801,대구광역시,현지인방문자(a),1111460.0
20220801,대구광역시,외지인방문자(b),252542.0
20220801,대구광역시,외국인방문자(c),188.0
20220802,대구광역시,현지인방문자(a),1117484.0
20220802,대구광역시,외지인방문자(b),247460.0
20220802,대구광역시,외국인방문자(c),194.0
20220803,대구광역시,현지인방문자(a),1140566.0
20220803,대구광역시,외지인방문자(b),243092.0
20220803,대구광역시,외국인방문자(c),185.0
20220804,대구광역시,현지인방문자(a),1145588.0
20220804,대구광역시,외지인방문자(b),236621.0
20220804,대구광역시,외국인방문자(c),204.0
20220805,대구광역시,현지인방문자(a),1155532.0
20220805,대구광역시,외지인방문자(b),263784.0
20220805,대구광역시,외국인방문자(c),180.0
20220806,대구광역시,현지인방문자(a),1089151.0
20220806,대구광역시,외지인방문자(b),312896.0
20220806,대구광역시,외국인방문자(c),172.0
20220807,대구광역시,현지인방문자(a),1052314.0
20220807,대구광역시,외지인방문자(b),272258.0
20220807,대구광역시,외국인방문자(c),161.0
20220808,대구광역시,현지인방문자(a),1162756.0
20220808,대구광역시,외지인방문자(b),227654.0
20220808,대구광역시,외국인방문자(c),163.0
20220809,대구광역시,현지인방문자(a),1164891.0
20220809,대구광역시,외지인방문자(b),225320.0
20220809,대구광역시,외국인방문자(c),171.0
20220810,대구광역시,현지인방문자(a),1175762.0
20220810,대구광역시,외지인방문자(b),231920.0
20220810,대구광역시,외국인방문자(c),184.0
20220811,대구광역시,현지인방문자(a),1166004.0
20220811,대구광역시,외지인방문자(b),235854.0
20220811,대구광역시,외국인방문자(c),201.0
20220812,대구광역시,현지인방문자(a),1186038.0
20220812,대구광역시,외지인방문자(b),279475.0
20220812,대구광역시,외국인방문자(c),185.0
20220813,대구광역시,현지인방문자(a),1093446.0
20220813,대구광역시,외지인방문자(b),358278.0
20220813,대구광역시,외국인방문자(c),189.0
20220814,대구광역시,현지인방문자(a),1023197.0
20220814,대구광역시,외지인방문자(b),350756.0
20220814,대구광역시,외국인방문자(c),180.0
20220815,대구광역시,현지인방문자(a),1077122.0
20220815,대구광역시,외지인방문자(b),297668.0
20220815,대구광역시,외국인방문자(c),172.0
20220816,대구광역시,현지인방문자(a),1161710.0
20220816,대구광역시,외지인방문자(b),233664.0
20220816,대구광역시,외국인방문자(c),161.0
20220817,대구광역시,현지인방문자(a),1180932.0
20220817,대구광역시,외지인방문자(b),234924.0
20220817,대구광역시,외국인방문자(c),184.0
20220818,대구광역시,현지인방문자(a),1186843.0
20220818,대구광역시,외지인방문자(b),239354.0
20220818,대구광역시,외국인방문자(c),192.0
20220819,대구광역시,현지인방문자(a),1192065.0
20220819,대구광역시,외지인방문자(b),266623.0
20220819,대구광역시,외국인방문자(c),174.0
20220820,대구광역시,현지인방문자(a),1109717.0
20220820,대구광역시,외지인방문자(b),323214.0
20220820,대구광역시,외국인방문자(c),153.0
20220821,대구광역시,현지인방문자(a),1067521.0
20220821,대구광역시,외지인방문자(b),293072.0
20220821,대구광역시,외국인방문자(c),157.0
20220822,대구광역시,현지인방문자(a),1181810.0
20220822,대구광역시,외지인방문자(b),238924.0
20220822,대구광역시,외국인방문자(c),169.0
20220823,대구광역시,현지인방문자(a),1172244.0
20220823,대구광역시,외지인방문자(b),239708.0
20220823,대구광역시,외국인방문자(c),166.0
20220824,대구광역시,현지인방문자(a),1194032.0
20220824,대구광역시,외지인방문자(b),243985.0
20220824,대구광역시,외국인방문자(c),155.0
20220825,대구광역시,현지인방문자(a),1191572.0
20220825,대구광역시,외지인방문자(b),251724.0
20220825,대구광역시,외국인방문자(c),190.0
20220826,대구광역시,현지인방문자(a),1205550.0
20220826,대구광역시,외지인방문자(b),287777.0
20220826,대구광역시,외국인방문자(c),193.0
20220827,대구광역시,현지인방문자(a),1126853.0
20220827,대구광역시,외지인방문자(b),368742.0
20220827,대구광역시,외국인방문자(c),177.0
20220828,대구광역시,현지인방문자(a),1069372.0
20220828,대구광역시,외지인방문자(b),324292.0
20220828,대구광역시,외국인방문자(c),200.0
20220829,대구광역시,현지인방문자(a),1188086.0
20220829,대구광역시,외지인방문자(b),262454.0
20220829,대구광역시,외국인방문자(c),230.0
20220830,대구광역시,현지인방문자(a),1181208.0
20220830,대구광역시,외지인방문자(b),259088.0
20220830,대구광역시,외국인방문자(c),243.0
20220831,대구광역시,현지인방문자(a),1200994.0
20220831,대구광역시,외지인방문자(b),265097.0
20220831,대구광역시,외국인방문자(c),231.0
20220801,대구광역시,외부방문자(b+c),252730.0
20220802,대구광역시,외부방문자(b+c),247654.0
20220803,대구광역시,외부방문자(b+c),243277.0
20220804,대구광역시,외부방문자(b+c),236825.0
20220805,대구광역시,외부방문자(b+c),263964.0
20220806,대구광역시,외부방문자(b+c),313069.0
20220807,대구광역시,외부방문자(b+c),272419.0
20220808,대구광역시,외부방문자(b+c),227817.0
20220809,대구광역시,외부방문자(b+c),225491.0
20220810,대구광역시,외부방문자(b+c),232104.0
20220811,대구광역시,외부방문자(b+c),236056.0
20220812,대구광역시,외부방문자(b+c),279660.0
20220813,대구광역시,외부방문자(b+c),358466.0
20220814,대구광역시,외부방문자(b+c),350936.0
20220815,대구광역시,외부방문자(b+c),297840.0
20220816,대구광역시,외부방문자(b+c),233824.0
20220817,대구광역시,외부방문자(b+c),235108.0
20220818,대구광역시,외부방문자(b+c),239547.0
