기준년월,광역지자체,방문자 구분,방문자 수
20220101,광주광역시,현지인방문자(a),616735.0
20220101,광주광역시,외지인방문자(b),161028.0
20220101,광주광역시,외국인방문자(c),30.0
20220102,광주광역시,현지인방문자(a),630486.0
20220102,광주광역시,외지인방문자(b),148558.0
20220102,광주광역시,외국인방문자(c),29.0
20220103,광주광역시,현지인방문자(a),712103.0
20220103,광주광역시,외지인방문자(b),114684.0
20220103,광주광역시,외국인방문자(c),26.0
20220104,광주광역시,현지인방문자(a),707371.0
20220104,광주광역시,외지인방문자(b),114608.0
20220104,광주광역시,외국인방문자(c),32.0
20220105,광주광역시,현지인방문자(a),710546.0
20220105,광주광역시,외지인방문자(b),117047.0
20220105,광주광역시,외국인방문자(c),38.0
20220106,광주광역시,현지인방문자(a),715799.0
20220106,광주광역시,외지인방문자(b),123078.0
20220106,광주광역시,외국인방문자(c),34.0
20220107,광주광역시,현지인방문자(a),730170.0
20220107,광주광역시,외지인방문자(b),141771.0
20220107,광주광역시,외국인방문자(c),37.0
20220108,광주광역시,현지인방문자(a),683364.0
20220108,광주광역시,외지인방문자(b),178994.0
20220108,광주광역시,외국인방문자(c),38.0
20220109,광주광역시,현지인방문자(a),640714.0
20220109,광주광역시,외지인방문자(b),148298.0
20220109,광주광역시,외국인방문자(c),39.0
20220110,광주광역시,현지인방문자(a),715536.0
20220110,광주광역시,외지인방문자(b),131302.0
20220110,광주광역시,외국인방문자(c),40.0
20220111,광주광역시,현지인방문자(a),696864.0
20220111,광주광역시,외지인방문자(b),127396.0
20220111,광주광역시,외국인방문자(c),42.0
20220112,광주광역시,현지인방문자(a),712467.0
20220112,광주광역시,외지인방문자(b),131950.0
20220112,광주광역시,외국인방문자(c),39.0
20220113,광주광역시,현지인방문자(a),702286.0
20220113,광주광역시,외지인방문자(b),132086.0
20220113,광주광역시,외국인방문자(c),41.0
20220114,광주광역시,현지인방문자(a),727002.0
20220114,광주광역시,외지인방문자(b),153587.0
20220114,광주광역시,외국인방문자(c),39.0
20220115,광주광역시,현지인방문자(a),677866.0
20220115,광주광역시,외지인방문자(b),186630.0
20220115,광주광역시,외국인방문자(c),40.0
20220116,광주광역시,현지인방문자(a),642652.0
20220116,광주광역시,외지인방문자(b),159582.0
20220116,광주광역시,외국인방문자(c),38.0
20220117,광주광역시,현지인방문자(a),710682.0
20220117,광주광역시,외지인방문자(b),142821.0
20220117,광주광역시,외국인방문자(c),39.0
20220118,광주광역시,현지인방문자(a),718347.0
20220118,광주광역시,외지인방문자(b),145159.0
20220118,광주광역시,외국인방문자(c),37.0
20220119,광주광역시,현지인방문자(a),721014.0
20220119,광주광역시,외지인방문자(b),143846.0
20220119,광주광역시,외국인방문자(c),44.0
20220120,광주광역시,현지인방문자(a),721186.0
20220120,광주광역시,외지인방문자(b),146682.0
20220120,광주광역시,외국인방문자(c),38.0
20220121,광주광역시,현지인방문자(a),735791.0
20220121,광주광역시,외지인방문자(b),162050.0
20220121,광주광역시,외국인방문자(c),33.0
20220122,광주광역시,현지인방문자(a),698274.0
20220122,광주광역시,외지인방문자(b),194754.0
20220122,광주광역시,외국인방문자(c),30.0
20220123,광주광역시,현지인방문자(a),662400.0
20220123,광주광역시,외지인방문자(b),167097.0
20220123,광주광역시,외국인방문자(c),29.0
20220124,광주광역시,현지인방문자(a),731108.0
20220124,광주광역시,외지인방문자(b),150034.0
20220124,광주광역시,외국인방문자(c),31.0
20220125,광주광역시,현지인방문자(a),728284.0
20220125,광주광역시,외지인방문자(b),151151.0
20220125,광주광역시,외국인방문자(c),30.0
20220126,광주광역시,현지인방문자(a),736544.0
20220126,광주광역시,외지인방문자(b),154168.0
20220126,광주광역시,외국인방문자(c),30.0
20220127,광주광역시,현지인방문자(a),737930.0
