기준년월,광역지자체,방문자 구분,방문자 수
20220301,광주광역시,현지인방문자(a),632754.0
20220301,광주광역시,외지인방문자(b),129468.0
20220301,광주광역시,외국인방문자(c),43.0
20220302,광주광역시,현지인방문자(a),720674.0
20220302,광주광역시,외지인방문자(b),129262.0
20220302,광주광역시,외국인방문자(c),45.0
20220303,광주광역시,현지인방문자(a),716440.0
20220303,광주광역시,외지인방문자(b),133532.0
20220303,광주광역시,외국인방문자(c),52.0
20220304,광주광역시,현지인방문자(a),726488.0
20220304,광주광역시,외지인방문자(b),147434.0
20220304,광주광역시,외국인방문자(c),56.0
20220305,광주광역시,현지인방문자(a),671296.0
20220305,광주광역시,외지인방문자(b),170530.0
20220305,광주광역시,외국인방문자(c),50.0
20220306,광주광역시,현지인방문자(a),628271.0
20220306,광주광역시,외지인방문자(b),146916.0
20220306,광주광역시,외국인방문자(c),52.0
20220307,광주광역시,현지인방문자(a),712856.0
20220307,광주광역시,외지인방문자(b),141414.0
20220307,광주광역시,외국인방문자(c),54.0
20220308,광주광역시,현지인방문자(a),720804.0
20220308,광주광역시,외지인방문자(b),148886.0
20220308,광주광역시,외국인방문자(c),53.0
20220309,광주광역시,현지인방문자(a),654766.0
20220309,광주광역시,외지인방문자(b),138593.0
20220309,광주광역시,외국인방문자(c),51.0
20220310,광주광역시,현지인방문자(a),711994.0
20220310,광주광역시,외지인방문자(b),147231.0
20220310,광주광역시,외국인방문자(c),50.0
20220311,광주광역시,현지인방문자(a),723107.0
20220311,광주광역시,외지인방문자(b),161182.0
20220311,광주광역시,외국인방문자(c),50.0
20220312,광주광역시,현지인방문자(a),671587.0
20220312,광주광역시,외지인방문자(b),186375.0
20220312,광주광역시,외국인방문자(c),48.0
20220313,광주광역시,현지인방문자(a),608926.0
20220313,광주광역시,외지인방문자(b),154714.0
20220313,광주광역시,외국인방문자(c),50.0
20220314,광주광역시,현지인방문자(a),703518.0
20220314,광주광역시,외지인방문자(b),151756.0
20220314,광주광역시,외국인방문자(c),45.0
20220315,광주광역시,현지인방문자(a),713909.0
20220315,광주광역시,외지인방문자(b),153342.0
20220315,광주광역시,외국인방문자(c),52.0
20220316,광주광역시,현지인방문자(a),717496.0
20220316,광주광역시,외지인방문자(b),154766.0
20220316,광주광역시,외국인방문자(c),49.0
20220317,광주광역시,현지인방문자(a),699832.0
20220317,광주광역시,외지인방문자(b),155890.0
20220317,광주광역시,외국인방문자(c),44.0
20220318,광주광역시,현지인방문자(a),717462.0
20220318,광주광역시,외지인방문자(b),170748.0
20220318,광주광역시,외국인방문자(c),45.0
20220319,광주광역시,현지인방문자(a),657370.0
20220319,광주광역시,외지인방문자(b),192269.0
20220319,광주광역시,외국인방문자(c),36.0
20220320,광주광역시,현지인방문자(a),628481.0
20220320,광주광역시,외지인방문자(b),167738.0
20220320,광주광역시,외국인방문자(c),33.0
20220321,광주광역시,현지인방문자(a),710874.0
20220321,광주광역시,외지인방문자(b),158428.0
20220321,광주광역시,외국인방문자(c),30.0
20220322,광주광역시,현지인방문자(a),718840.0
20220322,광주광역시,외지인방문자(b),162820.0
20220322,광주광역시,외국인방문자(c),30.0
20220323,광주광역시,현지인방문자(a),727132.0
20220323,광주광역시,외지인방문자(b),163464.0
20220323,광주광역시,외국인방문자(c),29.0
20220324,광주광역시,현지인방문자(a),734576.0
20220324,광주광역시,외지인방문자(b),167926.0
20220324,광주광역시,외국인방문자(c),29.0
20220325,광주광역시,현지인방문자(a),748150.0
20220325,광주광역시,외지인방문자(b),183040.0
20220325,광주광역시,외국인방문자(c),25.0
20220326,광주광역시,현지인방문자(a),691162.0
20220326,광주광역시,외지인방문자(b),212656.0
20220326,광주광역시,외국인방문자(c),22.0
20220327,광주광역시,현지인방문자(a),668024.0
20220327,광주광역시,외지인방문자(b),186848.0
20220327,광주광역시,외국인방문자(c),20.0
20220328,광주광역시,현지인방문자(a),746312.0
20220328,광주광역시,외지인방문자(b),172186.0
20220328,광주광역시,외국인방문자(c),21.0
20220329,광주광역시,현지인방문자(a),746011.0
20220329,광주광역시,외지인방문자(b),173464.0
20220329,광주광역시,외국인방문자(c),25.0
20220330,광주광역시,현지인방문자(a),752318.0
20220330,광주광역시,외지인방문자(b),174430.0
20220330,광주광역시,외국인방문자(c),25.0
20220331,광주광역시,현지인방문자(a),751026.0
20220331,광주광역시,외지인방문자(b),177807.0
20220331,광주광역시,외국인방문자(c),25.0
20220301,광주광역시,외부방문자(b+c),129511.0
20220302,광주광역시,외부방문자(b+c),129307.0
20220303,광주광역시,외부방문자(b+c),133584.0
20220304,광주광역시,외부방문자(b+c),147490.0
20220305,광주광역시,외부방문자(b+c),170580.0
20220306,광주광역시,외부방문자(b+c),146968.0
20220307,광주광역시,외부방문자(b+c),141468.0
20220308,광주광역시,외부방문자(b+c),148940.0
20220309,광주광역시,외부방문자(b+c),138644.0
20220310,광주광역시,외부방문자(b+c),147281.0
20220311,광주광역시,외부방문자(b+c),161232.0
20220312,광주광역시,외부방문자(b+c),186423.0
20220313,광주광역시,외부방문자(b+c),154764.0
20220314,광주광역시,외부방문자(b+c),151801.0
20220315,광주광역시,외부방문자(b+c),153394.0
20220316,광주광역시,외부방문자(b+c),154816.0
20220317,광주광역시,외부방문자(b+c),155934.0
20220318,광주광역시,외부방문자(b+c),170792.0
20220319,광주광역시,외부방문자(b+c),192305.0
20220320,광주광역시,외부방문자(b+c),167771.0
20220321,광주광역시,외부방문자(b+c),158458.0
20220322,광주광역시,외부방문자(b+c),162850.0
20220323,광주광역시,외부방문자(b+c),163493.0
20220324,광주광역시,외부방문자(b+c),167956.0
20220325,광주광역시,외부방문자(b+c),183065.0
20220326,광주광역시,외부방문자(b+c),212679.0
20220327,광주광역시,외부방문자(b+c),186867.0
20220328,광주광역시,외부방문자(b+c),172207.0
20220329,광주광역시,외부방문자(b+c),173488.0
20220330,광주광역시,외부방문자(b+c),174455.0
20220331,광주광역시,외부방문자(b+c),177832.0
20220301,광주광역시,전체방문자(a+b+c),762266.0
20220302,광주광역시,전체방문자(a+b+c),849981.0
20220303,광주광역시,전체방문자(a+b+c),850023.0
20220304,광주광역시,전체방문자(a+b+c),873978.0
20220305,광주광역시,전체방문자(a+b+c),841877.0
20220306,광주광역시,전체방문자(a+b+c),775239.0
20220307,광주광역시,전체방문자(a+b+c),854324.0
20220308,광주광역시,전체방문자(a+b+c),869744.0
20220309,광주광역시,전체방문자(a+b+c),793410.0
20220310,광주광역시,전체방문자(a+b+c),859275.0
20220311,광주광역시,전체방문자(a+b+c),884339.0
