기준년월,광역지자체,방문자 구분,방문자 수
20240401,대전광역시,현지인방문자(a),713682.0
20240401,대전광역시,외지인방문자(b),151322.0
20240401,대전광역시,외국인방문자(c),818.0
20240402,대전광역시,현지인방문자(a),716695.0
20240402,대전광역시,외지인방문자(b),161914.0
20240402,대전광역시,외국인방문자(c),841.0
20240403,대전광역시,현지인방문자(a),698932.0
20240403,대전광역시,외지인방문자(b),153020.0
20240403,대전광역시,외국인방문자(c),857.0
20240404,대전광역시,현지인방문자(a),704308.0
20240404,대전광역시,외지인방문자(b),165918.0
20240404,대전광역시,외국인방문자(c),820.0
20240405,대전광역시,현지인방문자(a),716905.0
20240405,대전광역시,외지인방문자(b),198597.0
20240405,대전광역시,외국인방문자(c),907.0
20240406,대전광역시,현지인방문자(a),653314.0
20240406,대전광역시,외지인방문자(b),299033.0
20240406,대전광역시,외국인방문자(c),829.0
20240407,대전광역시,현지인방문자(a),641137.0
20240407,대전광역시,외지인방문자(b),249392.0
20240407,대전광역시,외국인방문자(c),746.0
20240408,대전광역시,현지인방문자(a),702090.0
20240408,대전광역시,외지인방문자(b),164927.0
20240408,대전광역시,외국인방문자(c),947.0
20240409,대전광역시,현지인방문자(a),713811.0
20240409,대전광역시,외지인방문자(b),181240.0
20240409,대전광역시,외국인방문자(c),1018.0
20240410,대전광역시,현지인방문자(a),662291.0
20240410,대전광역시,외지인방문자(b),202797.0
20240410,대전광역시,외국인방문자(c),1089.0
20240411,대전광역시,현지인방문자(a),704522.0
20240411,대전광역시,외지인방문자(b),172966.0
20240411,대전광역시,외국인방문자(c),1000.0
20240412,대전광역시,현지인방문자(a),715190.0
20240412,대전광역시,외지인방문자(b),210990.0
20240412,대전광역시,외국인방문자(c),984.0
20240413,대전광역시,현지인방문자(a),650258.0
20240413,대전광역시,외지인방문자(b),306593.0
20240413,대전광역시,외국인방문자(c),868.0
20240414,대전광역시,현지인방문자(a),634784.0
20240414,대전광역시,외지인방문자(b),251461.0
20240414,대전광역시,외국인방문자(c),727.0
20240415,대전광역시,현지인방문자(a),691624.0
20240415,대전광역시,외지인방문자(b),172938.0
20240415,대전광역시,외국인방문자(c),930.0
20240416,대전광역시,현지인방문자(a),700700.0
20240416,대전광역시,외지인방문자(b),177370.0
20240416,대전광역시,외국인방문자(c),1040.0
