기준년월,광역지자체,방문자 구분,방문자 수
20240101,대전광역시,현지인방문자(a),599834.0
20240101,대전광역시,외지인방문자(b),211386.0
20240101,대전광역시,외국인방문자(c),735.0
20240102,대전광역시,현지인방문자(a),703885.0
20240102,대전광역시,외지인방문자(b),157262.0
20240102,대전광역시,외국인방문자(c),711.0
20240103,대전광역시,현지인방문자(a),709961.0
20240103,대전광역시,외지인방문자(b),160640.0
20240103,대전광역시,외국인방문자(c),671.0
20240104,대전광역시,현지인방문자(a),712922.0
20240104,대전광역시,외지인방문자(b),167972.0
20240104,대전광역시,외국인방문자(c),663.0
20240105,대전광역시,현지인방문자(a),718708.0
20240105,대전광역시,외지인방문자(b),189168.0
20240105,대전광역시,외국인방문자(c),595.0
20240106,대전광역시,현지인방문자(a),652274.0
20240106,대전광역시,외지인방문자(b),265300.0
20240106,대전광역시,외국인방문자(c),567.0
20240107,대전광역시,현지인방문자(a),625782.0
20240107,대전광역시,외지인방문자(b),218449.0
20240107,대전광역시,외국인방문자(c),556.0
20240108,대전광역시,현지인방문자(a),702107.0
20240108,대전광역시,외지인방문자(b),171829.0
20240108,대전광역시,외국인방문자(c),558.0
20240109,대전광역시,현지인방문자(a),703465.0
20240109,대전광역시,외지인방문자(b),174086.0
20240109,대전광역시,외국인방문자(c),537.0
20240110,대전광역시,현지인방문자(a),707388.0
20240110,대전광역시,외지인방문자(b),175626.0
20240110,대전광역시,외국인방문자(c),571.0
20240111,대전광역시,현지인방문자(a),708124.0
20240111,대전광역시,외지인방문자(b),187642.0
20240111,대전광역시,외국인방문자(c),497.0
20240112,대전광역시,현지인방문자(a),712859.0
20240112,대전광역시,외지인방문자(b),212048.0
20240112,대전광역시,외국인방문자(c),511.0
20240113,대전광역시,현지인방문자(a),646930.0
20240113,대전광역시,외지인방문자(b),296146.0
20240113,대전광역시,외국인방문자(c),470.0
20240114,대전광역시,현지인방문자(a),616042.0
20240114,대전광역시,외지인방문자(b),235448.0
20240114,대전광역시,외국인방문자(c),503.0
20240115,대전광역시,현지인방문자(a),698534.0
20240115,대전광역시,외지인방문자(b),189245.0
20240115,대전광역시,외국인방문자(c),518.0
20240116,대전광역시,현지인방문자(a),705554.0
20240116,대전광역시,외지인방문자(b),192874.0
20240116,대전광역시,외국인방문자(c),546.0
20240117,대전광역시,현지인방문자(a),697501.0
20240117,대전광역시,외지인방문자(b),193000.0
20240117,대전광역시,외국인방문자(c),564.0
20240118,대전광역시,현지인방문자(a),701410.0
20240118,대전광역시,외지인방문자(b),200522.0
20240118,대전광역시,외국인방문자(c),462.0
20240119,대전광역시,현지인방문자(a),707718.0
20240119,대전광역시,외지인방문자(b),228270.0
20240119,대전광역시,외국인방문자(c),478.0
20240120,대전광역시,현지인방문자(a),629744.0
20240120,대전광역시,외지인방문자(b),297150.0
20240120,대전광역시,외국인방문자(c),462.0
20240121,대전광역시,현지인방문자(a),620655.0
20240121,대전광역시,외지인방문자(b),251874.0
20240121,대전광역시,외국인방문자(c),438.0
20240122,대전광역시,현지인방문자(a),686668.0
20240122,대전광역시,외지인방문자(b),189598.0
20240122,대전광역시,외국인방문자(c),478.0
20240123,대전광역시,현지인방문자(a),683550.0
20240123,대전광역시,외지인방문자(b),191510.0
20240123,대전광역시,외국인방문자(c),480.0
20240124,대전광역시,현지인방문자(a),694911.0
20240124,대전광역시,외지인방문자(b),198821.0
20240124,대전광역시,외국인방문자(c),553.0
20240125,대전광역시,현지인방문자(a),695996.0
20240125,대전광역시,외지인방문자(b),206882.0
20240125,대전광역시,외국인방문자(c),494.0
20240126,대전광역시,현지인방문자(a),704802.0
20240126,대전광역시,외지인방문자(b),234028.0
20240126,대전광역시,외국인방문자(c),459.0
20240127,대전광역시,현지인방문자(a),641620.0
20240127,대전광역시,외지인방문자(b),312176.0
20240127,대전광역시,외국인방문자(c),392.0
20240128,대전광역시,현지인방문자(a),618905.0
20240128,대전광역시,외지인방문자(b),253978.0
20240128,대전광역시,외국인방문자(c),427.0
20240129,대전광역시,현지인방문자(a),691586.0
20240129,대전광역시,외지인방문자(b),208628.0
20240129,대전광역시,외국인방문자(c),482.0
20240130,대전광역시,현지인방문자(a),699590.0
20240130,대전광역시,외지인방문자(b),211960.0
20240130,대전광역시,외국인방문자(c),546.0
20240131,대전광역시,현지인방문자(a),704414.0
20240131,대전광역시,외지인방문자(b),211582.0
20240131,대전광역시,외국인방문자(c),594.0
