기준년월,광역지자체,방문자 구분,방문자 수
20240501,대전광역시,현지인방문자(a),729820.0
20240501,대전광역시,외지인방문자(b),187341.0
20240501,대전광역시,외국인방문자(c),1108.0
20240502,대전광역시,현지인방문자(a),756144.0
20240502,대전광역시,외지인방문자(b),167814.0
20240502,대전광역시,외국인방문자(c),1022.0
20240503,대전광역시,현지인방문자(a),759622.0
20240503,대전광역시,외지인방문자(b),214466.0
20240503,대전광역시,외국인방문자(c),1075.0
20240504,대전광역시,현지인방문자(a),655991.0
20240504,대전광역시,외지인방문자(b),347816.0
20240504,대전광역시,외국인방문자(c),914.0
20240505,대전광역시,현지인방문자(a),611090.0
20240505,대전광역시,외지인방문자(b),331548.0
20240505,대전광역시,외국인방문자(c),846.0
20240506,대전광역시,현지인방문자(a),648252.0
20240506,대전광역시,외지인방문자(b),260666.0
20240506,대전광역시,외국인방문자(c),801.0
20240507,대전광역시,현지인방문자(a),750799.0
20240507,대전광역시,외지인방문자(b),169656.0
20240507,대전광역시,외국인방문자(c),748.0
20240508,대전광역시,현지인방문자(a),774466.0
20240508,대전광역시,외지인방문자(b),183498.0
20240508,대전광역시,외국인방문자(c),736.0
20240509,대전광역시,현지인방문자(a),759409.0
20240509,대전광역시,외지인방문자(b),184006.0
20240509,대전광역시,외국인방문자(c),813.0
20240510,대전광역시,현지인방문자(a),768988.0
20240510,대전광역시,외지인방문자(b),223629.0
20240510,대전광역시,외국인방문자(c),804.0
20240511,대전광역시,현지인방문자(a),683140.0
20240511,대전광역시,외지인방문자(b),315136.0
20240511,대전광역시,외국인방문자(c),753.0
20240512,대전광역시,현지인방문자(a),670593.0
20240512,대전광역시,외지인방문자(b),262752.0
20240512,대전광역시,외국인방문자(c),747.0
20240513,대전광역시,현지인방문자(a),758650.0
20240513,대전광역시,외지인방문자(b),181940.0
20240513,대전광역시,외국인방문자(c),824.0
20240514,대전광역시,현지인방문자(a),771348.0
20240514,대전광역시,외지인방문자(b),210259.0
20240514,대전광역시,외국인방문자(c),772.0
20240515,대전광역시,현지인방문자(a),678188.0
20240515,대전광역시,외지인방문자(b),229838.0
20240515,대전광역시,외국인방문자(c),852.0
20240516,대전광역시,현지인방문자(a),755475.0
20240516,대전광역시,외지인방문자(b),196364.0
20240516,대전광역시,외국인방문자(c),865.0
20240517,대전광역시,현지인방문자(a),762444.0
20240517,대전광역시,외지인방문자(b),222372.0
20240517,대전광역시,외국인방문자(c),873.0
20240518,대전광역시,현지인방문자(a),682224.0
20240518,대전광역시,외지인방문자(b),320092.0
20240518,대전광역시,외국인방문자(c),775.0
20240519,대전광역시,현지인방문자(a),667986.0
20240519,대전광역시,외지인방문자(b),266494.0
20240519,대전광역시,외국인방문자(c),767.0
20240520,대전광역시,현지인방문자(a),753193.0
20240520,대전광역시,외지인방문자(b),188220.0
20240520,대전광역시,외국인방문자(c),835.0
20240521,대전광역시,현지인방문자(a),754432.0
20240521,대전광역시,외지인방문자(b),196455.0
20240521,대전광역시,외국인방문자(c),880.0
20240522,대전광역시,현지인방문자(a),758786.0
20240522,대전광역시,외지인방문자(b),201674.0
20240522,대전광역시,외국인방문자(c),940.0
20240523,대전광역시,현지인방문자(a),756126.0
20240523,대전광역시,외지인방문자(b),206360.0
20240523,대전광역시,외국인방문자(c),1000.0
20240524,대전광역시,현지인방문자(a),759174.0
20240524,대전광역시,외지인방문자(b),236124.0
20240524,대전광역시,외국인방문자(c),1018.0
20240525,대전광역시,현지인방문자(a),679371.0
20240525,대전광역시,외지인방문자(b),326116.0
20240525,대전광역시,외국인방문자(c),838.0
20240526,대전광역시,현지인방문자(a),651298.0
20240526,대전광역시,외지인방문자(b),271142.0
20240526,대전광역시,외국인방문자(c),801.0
20240527,대전광역시,현지인방문자(a),752927.0
20240527,대전광역시,외지인방문자(b),196455.0
20240527,대전광역시,외국인방문자(c),922.0
20240528,대전광역시,현지인방문자(a),758800.0
20240528,대전광역시,외지인방문자(b),204166.0
