기준년월,광역지자체,방문자 구분,방문자 수
20230401,대전광역시,현지인방문자(a),737138.0
20230401,대전광역시,외지인방문자(b),275202.0
20230401,대전광역시,외국인방문자(c),386.0
20230402,대전광역시,현지인방문자(a),717766.0
20230402,대전광역시,외지인방문자(b),229618.0
20230402,대전광역시,외국인방문자(c),357.0
20230403,대전광역시,현지인방문자(a),795417.0
20230403,대전광역시,외지인방문자(b),149989.0
20230403,대전광역시,외국인방문자(c),9.0
20230404,대전광역시,현지인방문자(a),792386.0
20230404,대전광역시,외지인방문자(b),144532.0
20230404,대전광역시,외국인방문자(c),436.0
20230405,대전광역시,현지인방문자(a),786286.0
20230405,대전광역시,외지인방문자(b),143986.0
20230405,대전광역시,외국인방문자(c),448.0
20230406,대전광역시,현지인방문자(a),787258.0
20230406,대전광역시,외지인방문자(b),155330.0
20230406,대전광역시,외국인방문자(c),434.0
20230407,대전광역시,현지인방문자(a),806708.0
20230407,대전광역시,외지인방문자(b),196861.0
20230407,대전광역시,외국인방문자(c),411.0
20230408,대전광역시,현지인방문자(a),742035.0
20230408,대전광역시,외지인방문자(b),286713.0
20230408,대전광역시,외국인방문자(c),389.0
20230409,대전광역시,현지인방문자(a),718627.0
20230409,대전광역시,외지인방문자(b),238315.0
20230409,대전광역시,외국인방문자(c),376.0
20230410,대전광역시,현지인방문자(a),795588.0
20230410,대전광역시,외지인방문자(b),160570.0
20230410,대전광역시,외국인방문자(c),379.0
20230411,대전광역시,현지인방문자(a),782362.0
20230411,대전광역시,외지인방문자(b),158564.0
20230411,대전광역시,외국인방문자(c),388.0
20230412,대전광역시,현지인방문자(a),795798.0
20230412,대전광역시,외지인방문자(b),162106.0
20230412,대전광역시,외국인방문자(c),364.0
20230413,대전광역시,현지인방문자(a),793562.0
20230413,대전광역시,외지인방문자(b),168707.0
20230413,대전광역시,외국인방문자(c),373.0
20230414,대전광역시,현지인방문자(a),807142.0
20230414,대전광역시,외지인방문자(b),202272.0
20230414,대전광역시,외국인방문자(c),369.0
20230415,대전광역시,현지인방문자(a),729894.0
20230415,대전광역시,외지인방문자(b),277060.0
20230415,대전광역시,외국인방문자(c),343.0
20230416,대전광역시,현지인방문자(a),715256.0
20230416,대전광역시,외지인방문자(b),236590.0
20230416,대전광역시,외국인방문자(c),333.0
20230417,대전광역시,현지인방문자(a),793345.0
20230417,대전광역시,외지인방문자(b),170762.0
20230417,대전광역시,외국인방문자(c),360.0
20230418,대전광역시,현지인방문자(a),779457.0
20230418,대전광역시,외지인방문자(b),167104.0
20230418,대전광역시,외국인방문자(c),369.0
20230419,대전광역시,현지인방문자(a),798018.0
20230419,대전광역시,외지인방문자(b),176130.0
20230419,대전광역시,외국인방문자(c),404.0
20230420,대전광역시,현지인방문자(a),793744.0
20230420,대전광역시,외지인방문자(b),183480.0
20230420,대전광역시,외국인방문자(c),384.0
20230421,대전광역시,현지인방문자(a),804048.0
20230421,대전광역시,외지인방문자(b),216132.0
20230421,대전광역시,외국인방문자(c),388.0
20230422,대전광역시,현지인방문자(a),731426.0
20230422,대전광역시,외지인방문자(b),294416.0
20230422,대전광역시,외국인방문자(c),332.0
20230423,대전광역시,현지인방문자(a),712680.0
20230423,대전광역시,외지인방문자(b),247600.0
20230423,대전광역시,외국인방문자(c),350.0
20230424,대전광역시,현지인방문자(a),786796.0
20230424,대전광역시,외지인방문자(b),175994.0
20230424,대전광역시,외국인방문자(c),354.0
20230425,대전광역시,현지인방문자(a),777626.0
20230425,대전광역시,외지인방문자(b),174576.0
20230425,대전광역시,외국인방문자(c),401.0
20230426,대전광역시,현지인방문자(a),792295.0
20230426,대전광역시,외지인방문자(b),181202.0
20230426,대전광역시,외국인방문자(c),406.0
20230427,대전광역시,현지인방문자(a),791648.0
20230427,대전광역시,외지인방문자(b),194204.0
20230427,대전광역시,외국인방문자(c),352.0
20230428,대전광역시,현지인방문자(a),802459.0
20230428,대전광역시,외지인방문자(b),235655.0
20230428,대전광역시,외국인방문자(c),354.0
20230429,대전광역시,현지인방문자(a),714822.0
20230429,대전광역시,외지인방문자(b),320674.0
20230429,대전광역시,외국인방문자(c),327.0
20230430,대전광역시,현지인방문자(a),704368.0
20230430,대전광역시,외지인방문자(b),306666.0
20230430,대전광역시,외국인방문자(c),337.0
20230401,대전광역시,외부방문자(b+c),275588.0
20230402,대전광역시,외부방문자(b+c),229974.0
20230403,대전광역시,외부방문자(b+c),149998.0
20230404,대전광역시,외부방문자(b+c),144969.0
20230405,대전광역시,외부방문자(b+c),144434.0
20230406,대전광역시,외부방문자(b+c),155764.0
20230407,대전광역시,외부방문자(b+c),197272.0
20230408,대전광역시,외부방문자(b+c),287102.0
20230409,대전광역시,외부방문자(b+c),238691.0
20230410,대전광역시,외부방문자(b+c),160948.0
20230411,대전광역시,외부방문자(b+c),158952.0
20230412,대전광역시,외부방문자(b+c),162470.0
20230413,대전광역시,외부방문자(b+c),169080.0
