기준년월,광역지자체,방문자 구분,방문자 수
20240101,광주광역시,현지인방문자(a),596670.0
20240101,광주광역시,외지인방문자(b),164286.0
20240101,광주광역시,외국인방문자(c),412.0
20240102,광주광역시,현지인방문자(a),679038.0
20240102,광주광역시,외지인방문자(b),132727.0
20240102,광주광역시,외국인방문자(c),407.0
20240103,광주광역시,현지인방문자(a),683473.0
20240103,광주광역시,외지인방문자(b),133046.0
20240103,광주광역시,외국인방문자(c),408.0
20240104,광주광역시,현지인방문자(a),686749.0
20240104,광주광역시,외지인방문자(b),138358.0
20240104,광주광역시,외국인방문자(c),372.0
20240105,광주광역시,현지인방문자(a),697305.0
20240105,광주광역시,외지인방문자(b),163982.0
20240105,광주광역시,외국인방문자(c),363.0
20240106,광주광역시,현지인방문자(a),648000.0
20240106,광주광역시,외지인방문자(b),207890.0
20240106,광주광역시,외국인방문자(c),373.0
20240107,광주광역시,현지인방문자(a),616382.0
20240107,광주광역시,외지인방문자(b),175242.0
20240107,광주광역시,외국인방문자(c),359.0
20240108,광주광역시,현지인방문자(a),675076.0
20240108,광주광역시,외지인방문자(b),144025.0
20240108,광주광역시,외국인방문자(c),345.0
20240109,광주광역시,현지인방문자(a),671433.0
20240109,광주광역시,외지인방문자(b),145422.0
20240109,광주광역시,외국인방문자(c),358.0
20240110,광주광역시,현지인방문자(a),682454.0
20240110,광주광역시,외지인방문자(b),151910.0
20240110,광주광역시,외국인방문자(c),360.0
20240111,광주광역시,현지인방문자(a),677922.0
20240111,광주광역시,외지인방문자(b),154150.0
20240111,광주광역시,외국인방문자(c),349.0
20240112,광주광역시,현지인방문자(a),685328.0
20240112,광주광역시,외지인방문자(b),174136.0
20240112,광주광역시,외국인방문자(c),323.0
20240113,광주광역시,현지인방문자(a),644094.0
20240113,광주광역시,외지인방문자(b),223167.0
20240113,광주광역시,외국인방문자(c),352.0
20240114,광주광역시,현지인방문자(a),612476.0
20240114,광주광역시,외지인방문자(b),182161.0
20240114,광주광역시,외국인방문자(c),323.0
20240115,광주광역시,현지인방문자(a),670250.0
20240115,광주광역시,외지인방문자(b),158277.0
20240115,광주광역시,외국인방문자(c),334.0
20240116,광주광역시,현지인방문자(a),676750.0
20240116,광주광역시,외지인방문자(b),160727.0
20240116,광주광역시,외국인방문자(c),349.0
20240117,광주광역시,현지인방문자(a),677470.0
20240117,광주광역시,외지인방문자(b),161875.0
20240117,광주광역시,외국인방문자(c),351.0
20240118,광주광역시,현지인방문자(a),674342.0
20240118,광주광역시,외지인방문자(b),164164.0
20240118,광주광역시,외국인방문자(c),374.0
20240119,광주광역시,현지인방문자(a),686784.0
20240119,광주광역시,외지인방문자(b),186837.0
20240119,광주광역시,외국인방문자(c),386.0
20240120,광주광역시,현지인방문자(a),630973.0
20240120,광주광역시,외지인방문자(b),231574.0
20240120,광주광역시,외국인방문자(c),364.0
20240121,광주광역시,현지인방문자(a),615979.0
20240121,광주광역시,외지인방문자(b),193403.0
20240121,광주광역시,외국인방문자(c),355.0
20240122,광주광역시,현지인방문자(a),657979.0
20240122,광주광역시,외지인방문자(b),158806.0
20240122,광주광역시,외국인방문자(c),371.0
20240123,광주광역시,현지인방문자(a),639926.0
20240123,광주광역시,외지인방문자(b),140710.0
20240123,광주광역시,외국인방문자(c),343.0
20240124,광주광역시,현지인방문자(a),659365.0
20240124,광주광역시,외지인방문자(b),147210.0
20240124,광주광역시,외국인방문자(c),326.0
20240125,광주광역시,현지인방문자(a),675636.0
20240125,광주광역시,외지인방문자(b),167328.0
20240125,광주광역시,외국인방문자(c),293.0
20240126,광주광역시,현지인방문자(a),689017.0
20240126,광주광역시,외지인방문자(b),192846.0
20240126,광주광역시,외국인방문자(c),311.0
20240127,광주광역시,현지인방문자(a),645512.0
20240127,광주광역시,외지인방문자(b),243064.0
20240127,광주광역시,외국인방문자(c),329.0
20240128,광주광역시,현지인방문자(a),616214.0
20240128,광주광역시,외지인방문자(b),200484.0
20240128,광주광역시,외국인방문자(c),330.0
20240129,광주광역시,현지인방문자(a),673222.0
20240129,광주광역시,외지인방문자(b),175182.0
20240129,광주광역시,외국인방문자(c),342.0
20240130,광주광역시,현지인방문자(a),673396.0
20240130,광주광역시,외지인방문자(b),176894.0
20240130,광주광역시,외국인방문자(c),309.0
20240131,광주광역시,현지인방문자(a),682262.0
20240131,광주광역시,외지인방문자(b),175028.0
20240131,광주광역시,외국인방문자(c),322.0
20240101,광주광역시,외부방문자(b+c),164699.0
20240102,광주광역시,외부방문자(b+c),133134.0
20240103,광주광역시,외부방문자(b+c),133453.0
20240104,광주광역시,외부방문자(b+c),138731.0
20240105,광주광역시,외부방문자(b+c),164345.0
20240106,광주광역시,외부방문자(b+c),208262.0
20240107,광주광역시,외부방문자(b+c),175600.0
20240108,광주광역시,외부방문자(b+c),144370.0
20240109,광주광역시,외부방문자(b+c),145779.0
20240110,광주광역시,외부방문자(b+c),152271.0
20240111,광주광역시,외부방문자(b+c),154499.0
20240112,광주광역시,외부방문자(b+c),174458.0
20240113,광주광역시,외부방문자(b+c),223519.0
20240114,광주광역시,외부방문자(b+c),182484.0
20240115,광주광역시,외부방문자(b+c),158611.0
20240116,광주광역시,외부방문자(b+c),161076.0
20240117,광주광역시,외부방문자(b+c),162226.0
20240118,광주광역시,외부방문자(b+c),164538.0
20240119,광주광역시,외부방문자(b+c),187223.0
20240120,광주광역시,외부방문자(b+c),231938.0
20240121,광주광역시,외부방문자(b+c),193758.0
20240122,광주광역시,외부방문자(b+c),159176.0
20240123,광주광역시,외부방문자(b+c),141054.0
20240124,광주광역시,외부방문자(b+c),147536.0
20240125,광주광역시,외부방문자(b+c),167621.0
20240126,광주광역시,외부방문자(b+c),193158.0
20240127,광주광역시,외부방문자(b+c),243394.0
20240128,광주광역시,외부방문자(b+c),200813.0
20240129,광주광역시,외부방문자(b+c),175524.0
20240130,광주광역시,외부방문자(b+c),177203.0
20240131,광주광역시,외부방문자(b+c),175350.0
20240101,광주광역시,전체방문자(a+b+c),761368.0
20240102,광주광역시,전체방문자(a+b+c),812173.0
20240103,광주광역시,전체방문자(a+b+c),816926.0
20240104,광주광역시,전체방문자(a+b+c),825480.0
20240105,광주광역시,전체방문자(a+b+c),861650.0
20240106,광주광역시,전체방문자(a+b+c),856263.0
20240107,광주광역시,전체방문자(a+b+c),791982.0
20240108,광주광역시,전체방문자(a+b+c),819447.0
20240109,광주광역시,전체방문자(a+b+c),817212.0
20240110,광주광역시,전체방문자(a+b+c),834725.0
20240111,광주광역시,전체방문자(a+b+c),832421.0
20240112,광주광역시,전체방문자(a+b+c),859786.0
20240113,광주광역시,전체방문자(a+b+c),867613.0
20240114,광주광역시,전체방문자(a+b+c),794960.0
20240115,광주광역시,전체방문자(a+b+c),828861.0
20240116,광주광역시,전체방문자(a+b+c),837825.0
20240117,광주광역시,전체방문자(a+b+c),839697.0
20240118,광주광역시,전체방문자(a+b+c),838880.0
20240119,광주광역시,전체방문자(a+b+c),874007.0
20240120,광주광역시,전체방문자(a+b+c),862911.0
20240121,광주광역시,전체방문자(a+b+c),809737.0
20240122,광주광역시,전체방문자(a+b+c),817155.0
20240123,광주광역시,전체방문자(a+b+c),780980.0
20240124,광주광역시,전체방문자(a+b+c),806901.0
20240125,광주광역시,전체방문자(a+b+c),843258.0
20240126,광주광역시,전체방문자(a+b+c),882175.0
20240127,광주광역시,전체방문자(a+b+c),888906.0
20240128,광주광역시,전체방문자(a+b+c),817027.0
20240129,광주광역시,전체방문자(a+b+c),848746.0
20240130,광주광역시,전체방문자(a+b+c),850599.0
20240131,광주광역시,전체방문자(a+b+c),857612.0
